epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,275.585,2.55036,2.01275,3.49146,0.02028,0.05138,0.00426,0.00173,1.44516,4.34456,1.7454,2.9969e-06,9.98967e-06,2.9969e-06,9.98967e-06,2.9969e-06,9.98967e-06
2,501.728,1.27901,0.57437,1.01459,0.40934,0.41127,0.33331,0.15709,0.66701,4.3267,0.40147,5.799e-06,1.933e-05,5.799e-06,1.933e-05,5.799e-06,1.933e-05
3,724.831,0.78035,0.64944,0.48348,0.61215,0.50984,0.55285,0.29308,0.50186,2.45637,0.29019,8.40311e-06,2.80104e-05,8.40311e-06,2.80104e-05,8.40311e-06,2.80104e-05
4,949.809,0.63416,0.67029,0.36646,0.67258,0.57133,0.63222,0.34125,0.42556,2.52584,0.25166,8.109e-06,2.703e-05,8.109e-06,2.703e-05,8.109e-06,2.703e-05
5,1173.06,0.57829,0.66735,0.32383,0.68309,0.59093,0.66301,0.35957,0.41218,1.60387,0.24325,7.812e-06,2.604e-05,7.812e-06,2.604e-05,7.812e-06,2.604e-05
6,1395.38,0.55853,0.66094,0.30749,0.70444,0.6172,0.68481,0.37135,0.35874,1.45434,0.21227,7.515e-06,2.505e-05,7.515e-06,2.505e-05,7.515e-06,2.505e-05
7,1618.74,0.54695,0.65073,0.29704,0.71902,0.62515,0.70126,0.38445,0.3529,1.21881,0.20791,7.218e-06,2.406e-05,7.218e-06,2.406e-05,7.218e-06,2.406e-05
8,1843.91,0.53917,0.64614,0.2928,0.71767,0.63803,0.70851,0.38777,0.35104,1.06839,0.20938,6.921e-06,2.307e-05,6.921e-06,2.307e-05,6.921e-06,2.307e-05
9,2070.78,0.53564,0.63756,0.28558,0.73685,0.64617,0.71948,0.3979,0.35152,0.91017,0.20861,6.624e-06,2.208e-05,6.624e-06,2.208e-05,6.624e-06,2.208e-05
10,2295.64,0.5231,0.63904,0.27987,0.72128,0.65422,0.72999,0.40461,0.34354,1.10423,0.20051,6.327e-06,2.109e-05,6.327e-06,2.109e-05,6.327e-06,2.109e-05
11,2519,0.51831,0.63301,0.27639,0.73356,0.67001,0.73905,0.4102,0.3374,1.22736,0.2015,6.03e-06,2.01e-05,6.03e-06,2.01e-05,6.03e-06,2.01e-05
12,2741.63,0.51482,0.6296,0.27242,0.73539,0.66729,0.74166,0.41746,0.33207,1.05189,0.19356,5.733e-06,1.911e-05,5.733e-06,1.911e-05,5.733e-06,1.911e-05
13,2964.1,0.51652,0.62566,0.27589,0.72291,0.67822,0.74916,0.41752,0.33196,0.80934,0.19126,5.436e-06,1.812e-05,5.436e-06,1.812e-05,5.436e-06,1.812e-05
14,3189.82,0.51171,0.62476,0.2696,0.76089,0.67642,0.75676,0.42364,0.32997,0.83568,0.19146,5.139e-06,1.713e-05,5.139e-06,1.713e-05,5.139e-06,1.713e-05
15,3410.22,0.50906,0.61547,0.27094,0.75455,0.68236,0.75782,0.42615,0.32782,0.82616,0.19004,4.842e-06,1.614e-05,4.842e-06,1.614e-05,4.842e-06,1.614e-05
16,3634.43,0.50526,0.61625,0.26731,0.75965,0.67467,0.75799,0.42315,0.33499,0.73394,0.19711,4.545e-06,1.515e-05,4.545e-06,1.515e-05,4.545e-06,1.515e-05
17,3860.18,0.49688,0.61441,0.26171,0.76628,0.6831,0.7623,0.42803,0.33059,0.78533,0.19009,4.248e-06,1.416e-05,4.248e-06,1.416e-05,4.248e-06,1.416e-05
18,4083.63,0.50516,0.61459,0.26632,0.75778,0.69426,0.76542,0.43129,0.32621,0.71495,0.18635,3.951e-06,1.317e-05,3.951e-06,1.317e-05,3.951e-06,1.317e-05
19,4307.95,0.50181,0.61132,0.26232,0.75601,0.7034,0.76887,0.43309,0.32634,0.77621,0.18643,3.654e-06,1.218e-05,3.654e-06,1.218e-05,3.654e-06,1.218e-05
20,4531.21,0.49675,0.60544,0.26234,0.76234,0.69586,0.76919,0.43546,0.3268,0.72214,0.1864,3.357e-06,1.119e-05,3.357e-06,1.119e-05,3.357e-06,1.119e-05
21,4756.06,0.48258,0.57937,0.27889,0.76309,0.70121,0.77438,0.4384,0.32575,0.6487,0.19251,3.06e-06,1.02e-05,3.06e-06,1.02e-05,3.06e-06,1.02e-05
22,4976.59,0.48195,0.56451,0.27405,0.77412,0.70523,0.78279,0.44474,0.32472,0.63589,0.18843,2.763e-06,9.21e-06,2.763e-06,9.21e-06,2.763e-06,9.21e-06
