epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,214.128,2.45779,1.84657,3.00841,0.00655,0.0422,0.00139,0.00037,1.40285,5.8629,1.63178,0,9.98967e-06,0,9.98967e-06,0,9.98967e-06
2,380.923,1.28668,0.63315,0.98382,0.30876,0.30614,0.2151,0.09693,0.6711,4.05157,0.39303,0,1.933e-05,0,1.933e-05,0,1.933e-05
3,549.973,0.78417,0.72994,0.46251,0.54661,0.4644,0.46771,0.2395,0.54288,2.59203,0.30829,0,2.80104e-05,0,2.80104e-05,0,2.80104e-05
4,716.645,0.64805,0.73827,0.35881,0.61147,0.51077,0.55727,0.29599,0.46693,3.59349,0.24235,0,2.703e-05,0,2.703e-05,0,2.703e-05
5,885.891,0.5946,0.73394,0.32249,0.64281,0.53895,0.5997,0.32085,0.38549,3.21847,0.2179,0,2.604e-05,0,2.604e-05,0,2.604e-05
6,1053.57,0.56973,0.72684,0.3077,0.64988,0.57846,0.62744,0.33328,0.36658,2.68496,0.21163,0,2.505e-05,0,2.505e-05,0,2.505e-05
7,1223.71,0.55539,0.72457,0.2989,0.6609,0.58673,0.63603,0.34097,0.36333,2.6691,0.20967,0,2.406e-05,0,2.406e-05,0,2.406e-05
8,1390.94,0.55077,0.71886,0.29572,0.64243,0.58847,0.63763,0.34487,0.35312,2.50803,0.20646,0,2.307e-05,0,2.307e-05,0,2.307e-05
9,1556.53,0.54917,0.70804,0.29101,0.68205,0.59217,0.65629,0.35548,0.35529,1.89041,0.20355,0,2.208e-05,0,2.208e-05,0,2.208e-05
10,1727.34,0.53703,0.71135,0.28737,0.6845,0.6121,0.66632,0.36056,0.35,2.3398,0.2027,0,2.109e-05,0,2.109e-05,0,2.109e-05
11,1897.26,0.5356,0.70711,0.28314,0.70032,0.60047,0.67139,0.36312,0.35213,2.39982,0.20137,0,2.01e-05,0,2.01e-05,0,2.01e-05
12,2067.23,0.53375,0.69845,0.28172,0.70665,0.60705,0.67905,0.36984,0.34346,2.18432,0.19642,0,1.911e-05,0,1.911e-05,0,1.911e-05
13,2239.29,0.53142,0.70063,0.2814,0.69565,0.62084,0.68261,0.37092,0.34561,1.55866,0.19625,0,1.812e-05,0,1.812e-05,0,1.812e-05
14,2411.85,0.53122,0.69513,0.28098,0.70418,0.61733,0.68772,0.37504,0.35335,1.77284,0.20101,0,1.713e-05,0,1.713e-05,0,1.713e-05
15,2580.21,0.52841,0.68263,0.27868,0.71337,0.62211,0.69303,0.37732,0.3467,1.71151,0.19516,0,1.614e-05,0,1.614e-05,0,1.614e-05
16,2753.68,0.52505,0.68744,0.27713,0.71454,0.62061,0.69793,0.38223,0.34692,1.59535,0.20051,0,1.515e-05,0,1.515e-05,0,1.515e-05
17,2917.95,0.51574,0.68716,0.27101,0.72566,0.62201,0.70026,0.38368,0.35433,1.59365,0.1986,0,1.416e-05,0,1.416e-05,0,1.416e-05
18,3090.23,0.52464,0.68807,0.27622,0.71531,0.62472,0.70062,0.38645,0.35471,1.65337,0.20139,0,1.317e-05,0,1.317e-05,0,1.317e-05
19,3257.3,0.52323,0.68338,0.27228,0.71516,0.62447,0.70172,0.38717,0.34291,1.80777,0.19695,0,1.218e-05,0,1.218e-05,0,1.218e-05
20,3428.33,0.51907,0.67458,0.27443,0.72175,0.62641,0.70572,0.388,0.35439,1.76553,0.20241,0,1.119e-05,0,1.119e-05,0,1.119e-05
21,3594.08,0.50501,0.64822,0.29483,0.70109,0.64949,0.71596,0.39597,0.34378,1.44435,0.19849,0,1.02e-05,0,1.02e-05,0,1.02e-05
22,3762.31,0.5014,0.63939,0.29119,0.70283,0.65969,0.7192,0.39919,0.34125,1.34941,0.19475,0,9.21e-06,0,9.21e-06,0,9.21e-06
23,3927.92,0.50261,0.6326,0.28875,0.70324,0.66083,0.72397,0.40217,0.33991,1.26577,0.1962,0,8.22e-06,0,8.22e-06,0,8.22e-06
24,4098.8,0.50265,0.63174,0.29344,0.71238,0.64736,0.72495,0.40513,0.33671,1.28594,0.19139,0,7.23e-06,0,7.23e-06,0,7.23e-06
25,4265.83,0.49572,0.63658,0.28852,0.70095,0.65956,0.72661,0.4059,0.33591,1.36262,0.19339,0,6.24e-06,0,6.24e-06,0,6.24e-06
26,4432.09,0.49566,0.63309,0.28622,0.71161,0.6617,0.72929,0.40643,0.33658,1.29166,0.19275,0,5.25e-06,0,5.25e-06,0,5.25e-06
27,4598.25,0.49499,0.6312,0.28763,0.7107,0.66838,0.731,0.40715,0.33825,1.27899,0.19596,0,4.26e-06,0,4.26e-06,0,4.26e-06
28,4765.57,0.49806,0.62476,0.28913,0.71492,0.66372,0.73206,0.40864,0.3365,1.24569,0.1942,0,3.27e-06,0,3.27e-06,0,3.27e-06
29,4933.7,0.49464,0.63382,0.28556,0.718,0.66255,0.73198,0.40876,0.33519,1.26614,0.19261,0,2.28e-06,0,2.28e-06,0,2.28e-06
30,5100.53,0.49376,0.63063,0.28262,0.715,0.66633,0.73207,0.40867,0.33579,1.28273,0.19238,0,1.29e-06,0,1.29e-06,0,1.29e-06
