epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,283.03,0.51428,0.66579,0.27522,0.71372,0.69319,0.74055,0.42166,0.33739,2.06734,0.18789,2.9969e-06,9.98967e-06,2.9969e-06,9.98967e-06,2.9969e-06,9.98967e-06
2,511.339,0.49694,0.62181,0.2538,0.75952,0.70349,0.77906,0.44776,0.31401,1.42201,0.17302,5.799e-06,1.933e-05,5.799e-06,1.933e-05,5.799e-06,1.933e-05
3,737.412,0.48449,0.60753,0.25191,0.76917,0.71995,0.79731,0.45895,0.31893,1.02164,0.17144,8.40311e-06,2.80104e-05,8.40311e-06,2.80104e-05,8.40311e-06,2.80104e-05
4,964.398,0.47997,0.59601,0.24898,0.76174,0.74235,0.80342,0.46533,0.30742,0.93025,0.16795,8.109e-06,2.703e-05,8.109e-06,2.703e-05,8.109e-06,2.703e-05
5,1189.77,0.47324,0.58553,0.24869,0.7769,0.74245,0.80888,0.46776,0.31205,0.93704,0.16871,7.812e-06,2.604e-05,7.812e-06,2.604e-05,7.812e-06,2.604e-05
6,1414.28,0.47333,0.5807,0.2471,0.7869,0.74671,0.81613,0.47437,0.30962,0.83147,0.16915,7.515e-06,2.505e-05,7.515e-06,2.505e-05,7.515e-06,2.505e-05
7,1642.11,0.47152,0.57304,0.24436,0.78477,0.74754,0.81886,0.47704,0.30585,0.75544,0.16823,7.218e-06,2.406e-05,7.218e-06,2.406e-05,7.218e-06,2.406e-05
8,1864.59,0.46948,0.57206,0.24291,0.78569,0.75971,0.82323,0.48123,0.30663,0.85949,0.16875,6.921e-06,2.307e-05,6.921e-06,2.307e-05,6.921e-06,2.307e-05
9,2093.35,0.47189,0.5632,0.24251,0.79446,0.75268,0.82854,0.4841,0.30497,0.71572,0.16822,6.624e-06,2.208e-05,6.624e-06,2.208e-05,6.624e-06,2.208e-05
10,2317.14,0.46554,0.56436,0.24337,0.79287,0.75458,0.82883,0.48438,0.30314,0.69445,0.16678,6.327e-06,2.109e-05,6.327e-06,2.109e-05,6.327e-06,2.109e-05
