epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9533,1.28595,1.23738,0.98951,0.00537,0.75497,0.02175,0.00828,0.4363,27.4475,0.39127,0.000292105,0.000292105,0.00292368
2,84.5685,0.71579,1.18456,0.41949,0.05539,0.28389,0.05083,0.02431,0.35933,9.50845,0.24996,0.000278786,0.000278786,0.000278786
3,126.581,0.58613,1.21336,0.33697,0.05745,0.30119,0.05793,0.03276,0.30411,5.61488,0.21687,0.000257571,0.000257571,0.000257571
4,168.567,0.52897,1.23336,0.29714,0.0711,0.33419,0.076,0.04169,0.30982,5.81173,0.21392,0.000236357,0.000236357,0.000236357
5,211.56,0.44337,1.33739,0.28803,0.12,0.32192,0.10929,0.06133,0.28623,3.37236,0.20377,0.000215143,0.000215143,0.000215143
6,253.751,0.42967,1.29535,0.25455,0.51669,0.40126,0.40227,0.22082,0.29795,5.78214,0.20567,0.000193929,0.000193929,0.000193929
7,295.404,0.48215,0.93489,0.31499,0.53723,0.51636,0.48795,0.26089,0.35822,3.15504,0.28598,0.000172714,0.000172714,0.000172714
8,337.106,0.49884,0.80231,0.36736,0.58441,0.56208,0.55432,0.29774,0.35912,4.23006,0.2806,0.0001515,0.0001515,0.0001515
9,378.938,0.48197,0.75196,0.34438,0.64755,0.5604,0.58457,0.30251,0.35816,3.27027,0.27951,0.000130286,0.000130286,0.000130286
10,420.333,0.47372,0.73202,0.32077,0.60746,0.56291,0.56713,0.30371,0.36954,1.66463,0.30023,0.000109071,0.000109071,0.000109071
11,462.586,0.47406,0.68151,0.32316,0.6034,0.5648,0.56412,0.31053,0.36381,3.23569,0.29143,8.78571e-05,8.78571e-05,8.78571e-05
12,505.515,0.46528,0.64438,0.32459,0.61912,0.62061,0.59141,0.32823,0.36979,2.41453,0.31249,6.66429e-05,6.66429e-05,6.66429e-05
13,547.726,0.47021,0.62276,0.32483,0.64961,0.59904,0.59296,0.32622,0.36549,1.98823,0.30994,4.54286e-05,4.54286e-05,4.54286e-05
14,590.17,0.46429,0.62564,0.31733,0.6375,0.61637,0.61018,0.33612,0.35401,1.6642,0.30467,2.42143e-05,2.42143e-05,2.42143e-05
