epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.99,1.383,1.14944,1.07322,0.01579,0.40323,0.02302,0.00696,0.43472,24.671,0.32103,0.000292105,0.000292105,0.00292368
2,84.3647,0.7229,1.18669,0.41175,0.0437,0.22727,0.03862,0.02138,0.35714,11.2421,0.26789,0.000296277,0.000296277,0.000296277
3,126.938,0.57554,1.24149,0.33007,0.05978,0.27162,0.0513,0.02642,0.33351,8.8668,0.23342,0.000285294,0.000285294,0.000285294
4,168.377,0.52743,1.22122,0.29716,0.07932,0.25912,0.0714,0.03997,0.29557,4.77231,0.20993,0.000267602,0.000267602,0.000267602
5,210.728,0.44735,1.33497,0.28129,0.10024,0.33725,0.09894,0.05521,0.28587,2.86806,0.19084,0.000244088,0.000244088,0.000244088
6,253.748,0.43014,1.33336,0.25287,0.14153,0.30232,0.15165,0.08197,0.27886,6.55957,0.18583,0.000215932,0.000215932,0.000215932
7,296.979,0.46348,1.04232,0.27905,0.59351,0.50183,0.47327,0.24048,0.36524,3.49499,0.28838,0.000184544,0.000184544,0.000184544
8,339.272,0.49036,0.80436,0.3477,0.57502,0.55911,0.52336,0.27782,0.35705,2.56378,0.29218,0.0001515,0.0001515,0.0001515
9,382.128,0.47883,0.75358,0.33892,0.66336,0.59061,0.56219,0.30116,0.36623,1.85544,0.29953,0.000118456,0.000118456,0.000118456
10,424.749,0.47609,0.73381,0.32677,0.65738,0.56813,0.54626,0.28741,0.36829,1.77076,0.30345,8.70683e-05,8.70683e-05,8.70683e-05
11,467.424,0.47114,0.67645,0.32084,0.67187,0.5953,0.5694,0.31155,0.35905,1.9695,0.29574,5.89118e-05,5.89118e-05,5.89118e-05
12,509.861,0.46526,0.64776,0.31781,0.6599,0.61705,0.60429,0.33447,0.34805,1.64627,0.26995,3.5398e-05,3.5398e-05,3.5398e-05
13,551.841,0.46014,0.63453,0.31029,0.69114,0.6091,0.59116,0.32423,0.35344,1.41262,0.27841,1.77061e-05,1.77061e-05,1.77061e-05
14,593.788,0.4689,0.63984,0.31599,0.69102,0.60293,0.60794,0.33577,0.34955,1.39679,0.27986,6.72321e-06,6.72321e-06,6.72321e-06
