epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,99.0495,1.14573,1.05045,0.84275,0.51776,0.18519,0.03731,0.01377,0.41467,12.2597,0.29252,0.000296809,0.000296809,0.00136064
2,198.362,0.61082,1.24941,0.34864,0.05549,0.31842,0.05685,0.02571,0.33149,8.55915,0.221,0.00028515,0.00028515,0.00028515
3,295.82,0.51461,1.27255,0.28518,0.08368,0.26148,0.07604,0.04009,0.28707,6.70487,0.19382,0.0002703,0.0002703,0.0002703
4,395.812,0.46647,1.27517,0.2518,0.12292,0.31202,0.11626,0.06783,0.28299,3.16807,0.18934,0.00025545,0.00025545,0.00025545
5,494.493,0.46106,1.20396,0.24442,0.20261,0.33488,0.1659,0.09484,0.28273,3.50844,0.19166,0.0002406,0.0002406,0.0002406
6,594.052,0.51091,0.9644,0.30045,0.57784,0.54721,0.49138,0.26621,0.36192,2.84063,0.29339,0.00022575,0.00022575,0.00022575
7,692.702,0.53089,0.83945,0.32392,0.62945,0.48867,0.49415,0.26593,0.34764,2.88068,0.27547,0.0002109,0.0002109,0.0002109
8,792.857,0.51002,0.804,0.30798,0.61888,0.56701,0.53674,0.28855,0.3547,2.04143,0.28857,0.00019605,0.00019605,0.00019605
9,890.772,0.50379,0.78487,0.299,0.70736,0.5361,0.5844,0.32393,0.33086,2.61372,0.26012,0.0001812,0.0001812,0.0001812
10,991.151,0.5021,0.74772,0.30055,0.73238,0.49691,0.59115,0.3399,0.32115,2.07525,0.25279,0.00016635,0.00016635,0.00016635
11,1089.67,0.49041,0.74088,0.28779,0.66178,0.52715,0.57981,0.32172,0.35015,1.84313,0.28349,0.0001515,0.0001515,0.0001515
12,1187.91,0.48652,0.70855,0.29733,0.67302,0.57145,0.60585,0.35395,0.33729,1.3796,0.27594,0.00013665,0.00013665,0.00013665
13,1288.05,0.47993,0.68294,0.27905,0.66603,0.59119,0.61657,0.35756,0.33844,2.15489,0.28045,0.0001218,0.0001218,0.0001218
14,1387.57,0.47154,0.68172,0.28101,0.66236,0.59805,0.63044,0.36858,0.32849,1.81781,0.25464,0.00010695,0.00010695,0.00010695
15,1486.84,0.46446,0.66014,0.27308,0.7125,0.58527,0.62956,0.36811,0.334,1.61331,0.26455,9.21e-05,9.21e-05,9.21e-05
16,1585.69,0.4618,0.66168,0.26773,0.72818,0.56315,0.63148,0.37413,0.33014,1.74808,0.2911,7.725e-05,7.725e-05,7.725e-05
17,1684.6,0.44099,0.64193,0.25904,0.74623,0.59656,0.64737,0.37741,0.35848,1.50944,0.29509,6.24e-05,6.24e-05,6.24e-05
18,1785.12,0.45066,0.62101,0.26317,0.67262,0.60217,0.64674,0.38282,0.33945,1.4226,0.29133,4.755e-05,4.755e-05,4.755e-05
19,1885.64,0.44425,0.6171,0.26804,0.72853,0.61337,0.67138,0.40012,0.33715,1.24873,0.29799,3.27e-05,3.27e-05,3.27e-05
20,1985.86,0.44026,0.60721,0.2617,0.75192,0.62046,0.67031,0.40007,0.33505,1.11379,0.28629,1.785e-05,1.785e-05,1.785e-05
