epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,81.5228,1.78788,1.34177,1.66523,0.00031,0.17834,0.00054,0.00012,1.07119,0.98702,1.04712,9.93333e-05,9.93333e-05,0.000766
2,163.051,1.3581,0.74267,1.07231,0.00151,0.39983,0.01146,0.00304,0.81202,2.93797,0.73826,9.29286e-05,9.29286e-05,9.29286e-05
3,250.775,1.23197,0.88714,0.91821,0.01269,0.52285,0.03832,0.01175,0.71487,2.78401,0.57246,8.58571e-05,8.58571e-05,8.58571e-05
4,331.85,1.03543,1.04779,0.74072,0.03647,0.37761,0.04453,0.01651,0.64385,3.65979,0.53081,7.87857e-05,7.87857e-05,7.87857e-05
5,413.369,0.85811,1.26239,0.61892,0.53179,0.18248,0.03773,0.0157,0.56873,1.20497,0.43542,7.17143e-05,7.17143e-05,7.17143e-05
6,495.92,0.77593,1.3253,0.51884,0.52624,0.18248,0.02801,0.01153,0.51264,2.1728,0.33599,6.46429e-05,6.46429e-05,6.46429e-05
7,578.265,0.79376,1.30158,0.47311,0.52387,0.14964,0.02865,0.0142,0.54019,1.49726,0.3527,5.75714e-05,5.75714e-05,5.75714e-05
8,657.721,0.7351,1.35718,0.48178,0.51699,0.24088,0.02447,0.01159,0.46708,2.06145,0.32393,5.05e-05,5.05e-05,5.05e-05
9,740.492,0.72467,1.38696,0.44467,0.51606,0.27022,0.03153,0.01538,0.44231,1.99349,0.30914,4.34286e-05,4.34286e-05,4.34286e-05
10,819.153,0.67893,1.39829,0.40895,0.51452,0.29927,0.02428,0.01211,0.43759,1.82491,0.29667,3.63571e-05,3.63571e-05,3.63571e-05
11,898.096,0.67796,1.38838,0.39302,0.04678,0.30517,0.0251,0.01213,0.43382,1.90843,0.30088,2.92857e-05,2.92857e-05,2.92857e-05
12,980.653,0.64695,1.45481,0.3907,0.03036,0.34253,0.02764,0.01314,0.42153,1.99677,0.29998,2.22143e-05,2.22143e-05,2.22143e-05
13,1060.05,0.62992,1.43142,0.37019,0.5164,0.24299,0.02952,0.01311,0.43142,1.88501,0.29476,1.51429e-05,1.51429e-05,1.51429e-05
14,1146.17,0.61415,1.47368,0.335,0.01939,0.37763,0.02714,0.01356,0.40871,1.97922,0.27703,8.07143e-06,8.07143e-06,8.07143e-06
