epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,43.3681,1.68761,3.27714,1.95324,0.01009,0.53505,0.04113,0.01433,0.66622,12.8425,0.55161,0.000292105,0.000292105,0.00292368
2,86.76,0.78969,1.26256,0.50519,0.03691,0.27219,0.03076,0.01772,0.42085,6.90504,0.24433,0.000278786,0.000278786,0.000278786
3,128.942,0.57966,1.36259,0.33352,0.06106,0.36647,0.05097,0.02437,0.38011,6.30971,0.21868,0.000257571,0.000257571,0.000257571
4,172.588,0.52204,1.29928,0.27377,0.29081,0.42324,0.27107,0.12791,0.3687,5.68715,0.19406,0.000236357,0.000236357,0.000236357
5,216.018,0.59168,0.90315,0.3444,0.43728,0.54968,0.42346,0.21591,0.39137,3.64188,0.24349,0.000215143,0.000215143,0.000215143
6,257.95,0.56516,0.82965,0.33812,0.4684,0.56041,0.45546,0.24085,0.42822,4.43952,0.2969,0.000193929,0.000193929,0.000193929
7,301.341,0.55713,0.83099,0.3259,0.60703,0.5384,0.50393,0.26684,0.39575,1.63911,0.25214,0.000172714,0.000172714,0.000172714
8,344.798,0.51512,0.81612,0.3003,0.62613,0.54035,0.55015,0.29517,0.40703,5.43134,0.27728,0.0001515,0.0001515,0.0001515
9,387.554,0.52761,0.75844,0.31041,0.5768,0.59936,0.57528,0.30377,0.41333,3.72569,0.27322,0.000130286,0.000130286,0.000130286
10,428.68,0.5275,0.67572,0.3174,0.62078,0.59283,0.58926,0.31465,0.41459,1.52928,0.28176,0.000109071,0.000109071,0.000109071
11,458.885,0.52194,0.62535,0.29467,0.67923,0.59682,0.61388,0.33053,0.40485,1.65891,0.28521,8.78571e-05,8.78571e-05,8.78571e-05
12,489.902,0.49397,0.63008,0.28685,0.69392,0.58513,0.63716,0.35175,0.39424,1.19347,0.26393,6.66429e-05,6.66429e-05,6.66429e-05
13,520.435,0.5025,0.58535,0.29279,0.62622,0.63463,0.62942,0.34049,0.40533,1.22542,0.2939,4.54286e-05,4.54286e-05,4.54286e-05
14,550.611,0.47795,0.58909,0.27419,0.66361,0.6072,0.63563,0.34467,0.40799,1.25556,0.28531,2.42143e-05,2.42143e-05,2.42143e-05
