epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4171,1.45468,1.67145,1.13311,0.00472,0.5904,0.01934,0.00591,0.64273,18.2466,0.47465,0.000292105,0.000292105,0.00292368
2,84.3759,0.82731,1.13992,0.50674,0.04293,0.2332,0.03496,0.01596,0.4631,12.8062,0.27412,0.000278786,0.000278786,0.000278786
3,125.306,0.658,1.22246,0.3556,0.06591,0.26373,0.05429,0.02612,0.40267,12.66,0.22973,0.000257571,0.000257571,0.000257571
4,167.999,0.58517,1.23748,0.2912,0.08043,0.44985,0.08891,0.04437,0.37908,5.25757,0.20374,0.000236357,0.000236357,0.000236357
5,211.047,0.50516,1.29346,0.26304,0.14071,0.34735,0.10983,0.06077,0.3474,2.63381,0.19566,0.000215143,0.000215143,0.000215143
6,253.166,0.48917,1.20612,0.24997,0.28474,0.30611,0.26299,0.13573,0.36293,2.80002,0.19863,0.000193929,0.000193929,0.000193929
7,295.889,0.55693,0.96753,0.28524,0.46002,0.56996,0.41829,0.2154,0.40737,1.8787,0.23392,0.000172714,0.000172714,0.000172714
8,339.233,0.54243,0.80295,0.32632,0.51946,0.56685,0.507,0.25332,0.42014,1.68855,0.27664,0.0001515,0.0001515,0.0001515
9,382.239,0.5522,0.75492,0.33363,0.55247,0.58263,0.52509,0.27713,0.40779,3.11631,0.25222,0.000130286,0.000130286,0.000130286
10,424.828,0.53646,0.70486,0.31364,0.66147,0.5532,0.56862,0.31096,0.40934,2.06318,0.25402,0.000109071,0.000109071,0.000109071
11,467.979,0.53781,0.67015,0.30333,0.55463,0.63271,0.56272,0.30615,0.41125,1.78384,0.26771,8.78571e-05,8.78571e-05,8.78571e-05
12,509.99,0.51011,0.66498,0.30839,0.62519,0.65835,0.60797,0.33402,0.40209,1.75066,0.24898,6.66429e-05,6.66429e-05,6.66429e-05
13,552.565,0.51379,0.63011,0.29726,0.65422,0.64034,0.61694,0.33727,0.40652,1.52872,0.26134,4.54286e-05,4.54286e-05,4.54286e-05
14,597.168,0.5003,0.61517,0.2889,0.65348,0.64493,0.62055,0.33497,0.41049,1.31955,0.263,2.42143e-05,2.42143e-05,2.42143e-05
