epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1.30344,2.53558,2.10324,3.17091,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
2,2.19369,2.61031,2.70979,2.78034,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
3,3.16672,2.50677,2.21554,4.09704,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
4,5.12578,2.73483,1.35872,3.24192,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
5,6.20612,2.37695,1.12271,2.89162,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
6,7.30619,2.6105,0.57102,5.09298,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
7,8.57766,2.58246,0.58203,3.14545,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
8,9.59017,2.40083,0.56055,2.76169,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
9,10.8373,2.40821,0.35374,3.4901,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
10,11.9778,2.29009,0.32371,2.95254,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
11,13.002,2.24007,0.32225,3.80426,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
12,14.4053,2.15816,0.35747,3.23513,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
13,15.9042,2.31179,0.29992,3.11968,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
14,17.0976,2.20582,0.2645,2.53425,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
15,18.36,2.27694,0.22783,2.99304,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
16,20.0179,1.84842,0.33667,2.6501,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
17,21.7001,2.1099,0.28685,2.97639,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
18,23.0508,1.93117,0.31703,2.28147,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
19,22.5799,1.6026,0.39748,1.27394,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
20,24.06,1.73719,0.37254,1.60181,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
21,25.454,1.71491,0.36224,1.33804,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
22,26.465,1.54642,0.45442,1.36787,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
23,27.7597,1.50724,0.40781,1.17644,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
24,29.1866,1.30002,0.49973,1.01374,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
25,30.6745,1.23585,0.50818,0.81833,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
26,32.0581,1.08974,0.57396,0.58888,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
27,34.2016,0.90809,0.62676,0.5575,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
28,35.2814,0.94538,0.65423,0.57094,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
29,36.1716,0.75067,0.66765,0.49197,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
30,37.3638,0.73681,0.71504,0.43429,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
31,39.0862,0.68689,0.67177,0.32341,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
32,40.8556,0.54464,0.70561,0.28148,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
33,42.1782,0.56949,0.69968,0.31855,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
34,43.5534,0.74857,0.53563,0.44552,0,0,0,0,0,0,0,0.0001,0.0001,0.0001
