epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,366.897,1.30078,1.14128,1.31465,0.60687,0.5654,0.58957,0.30632,0.44672,2.35609,0.25533,2.9969e-05,9.98967e-05,2.9969e-05,9.98967e-05,2.9969e-05,9.98967e-05
2,677.555,0.57758,0.68317,0.31579,0.69164,0.63803,0.68701,0.37212,0.34375,1.52233,0.20135,5.89795e-05,0.000196598,5.89795e-05,0.000196598,5.89795e-05,0.000196598
3,990.268,0.54638,0.66282,0.29682,0.71411,0.63677,0.714,0.39001,0.32919,1.41306,0.18055,8.7e-05,0.00029,8.7e-05,0.00029,8.7e-05,0.00029
4,1302,0.53141,0.64323,0.28499,0.72591,0.67763,0.73664,0.40268,0.34294,1.0255,0.19956,8.5545e-05,0.00028515,8.5545e-05,0.00028515,8.5545e-05,0.00028515
5,1615.99,0.51801,0.6284,0.27997,0.77318,0.67327,0.75028,0.41811,0.33737,0.57749,0.20046,8.406e-05,0.0002802,8.406e-05,0.0002802,8.406e-05,0.0002802
6,1926.91,0.51954,0.61138,0.28084,0.7495,0.68328,0.75785,0.42035,0.33061,0.63253,0.19182,8.2575e-05,0.00027525,8.2575e-05,0.00027525,8.2575e-05,0.00027525
7,2241.82,0.50806,0.60295,0.272,0.77511,0.68365,0.75641,0.42102,0.33399,0.61938,0.1909,8.109e-05,0.0002703,8.109e-05,0.0002703,8.109e-05,0.0002703
8,2556.74,0.50336,0.59728,0.26941,0.7699,0.69091,0.7686,0.42736,0.32653,0.59075,0.1934,7.9605e-05,0.00026535,7.9605e-05,0.00026535,7.9605e-05,0.00026535
9,2873.99,0.50317,0.58359,0.26699,0.75523,0.68811,0.77109,0.43567,0.32249,0.76234,0.18244,7.812e-05,0.0002604,7.812e-05,0.0002604,7.812e-05,0.0002604
10,3188.87,0.49138,0.58965,0.2617,0.76249,0.69436,0.76802,0.4393,0.32822,0.59046,0.19828,7.6635e-05,0.00025545,7.6635e-05,0.00025545,7.6635e-05,0.00025545
11,3505.72,0.48408,0.58128,0.25562,0.77122,0.68786,0.76972,0.44042,0.32204,0.55563,0.19056,7.515e-05,0.0002505,7.515e-05,0.0002505,7.515e-05,0.0002505
12,3826.33,0.48105,0.56883,0.25264,0.77571,0.69645,0.78128,0.44549,0.31846,0.52986,0.18667,7.3665e-05,0.00024555,7.3665e-05,0.00024555,7.3665e-05,0.00024555
13,4141.87,0.48212,0.56172,0.25539,0.79178,0.69387,0.78347,0.45153,0.32122,0.50627,0.18506,7.218e-05,0.0002406,7.218e-05,0.0002406,7.218e-05,0.0002406
14,4457,0.48291,0.55547,0.25231,0.77735,0.71961,0.79001,0.45232,0.31595,0.6946,0.18194,7.0695e-05,0.00023565,7.0695e-05,0.00023565,7.0695e-05,0.00023565
15,4770.71,0.47559,0.54389,0.25146,0.77815,0.71726,0.78349,0.45122,0.31744,0.47751,0.18201,6.921e-05,0.0002307,6.921e-05,0.0002307,6.921e-05,0.0002307
16,5085.36,0.47312,0.53563,0.24905,0.7951,0.71596,0.79691,0.45531,0.31735,0.47072,0.18762,6.7725e-05,0.00022575,6.7725e-05,0.00022575,6.7725e-05,0.00022575
17,5399.42,0.46207,0.53608,0.24168,0.80056,0.73388,0.80599,0.45911,0.31832,0.44618,0.18819,6.624e-05,0.0002208,6.624e-05,0.0002208,6.624e-05,0.0002208
18,5714.32,0.46364,0.534,0.24147,0.80465,0.7246,0.80793,0.45699,0.32753,0.4431,0.1889,6.4755e-05,0.00021585,6.4755e-05,0.00021585,6.4755e-05,0.00021585
19,6027.16,0.46082,0.53084,0.23633,0.78709,0.7309,0.79817,0.45831,0.31731,0.43285,0.18842,6.327e-05,0.0002109,6.327e-05,0.0002109,6.327e-05,0.0002109
20,6342.53,0.45514,0.5277,0.23526,0.79606,0.72627,0.80107,0.45837,0.31934,0.52903,0.18631,6.1785e-05,0.00020595,6.1785e-05,0.00020595,6.1785e-05,0.00020595
21,6657.23,0.45293,0.51818,0.23658,0.80736,0.71989,0.798,0.45359,0.32656,0.43977,0.19715,6.03e-05,0.000201,6.03e-05,0.000201,6.03e-05,0.000201
22,6973.29,0.45313,0.51545,0.23184,0.79695,0.73072,0.79482,0.45724,0.3215,0.45996,0.19384,5.8815e-05,0.00019605,5.8815e-05,0.00019605,5.8815e-05,0.00019605
23,7289.12,0.45005,0.50841,0.23052,0.79401,0.73733,0.80088,0.46771,0.31532,0.44891,0.18525,5.733e-05,0.0001911,5.733e-05,0.0001911,5.733e-05,0.0001911
24,7605.48,0.44562,0.50407,0.22887,0.80249,0.72387,0.79958,0.46084,0.32072,0.47183,0.18926,5.5845e-05,0.00018615,5.5845e-05,0.00018615,5.5845e-05,0.00018615
25,7920.59,0.4421,0.5041,0.22789,0.79838,0.73431,0.79694,0.46099,0.31994,0.45603,0.18953,5.436e-05,0.0001812,5.436e-05,0.0001812,5.436e-05,0.0001812
26,8234.3,0.4411,0.50289,0.22611,0.80139,0.74121,0.80077,0.46433,0.32556,0.44453,0.19935,5.2875e-05,0.00017625,5.2875e-05,0.00017625,5.2875e-05,0.00017625
27,8546.9,0.44037,0.49923,0.22287,0.79424,0.74845,0.79594,0.46436,0.32444,0.4298,0.19471,5.139e-05,0.0001713,5.139e-05,0.0001713,5.139e-05,0.0001713
28,8859.34,0.43586,0.49365,0.22212,0.80364,0.74275,0.8024,0.46679,0.3267,0.42335,0.19432,4.9905e-05,0.00016635,4.9905e-05,0.00016635,4.9905e-05,0.00016635
29,9172.18,0.43534,0.48607,0.21838,0.79296,0.75782,0.80783,0.47107,0.32504,0.43789,0.19204,4.842e-05,0.0001614,4.842e-05,0.0001614,4.842e-05,0.0001614
30,9489.21,0.42792,0.48399,0.21844,0.80322,0.74856,0.79784,0.46388,0.32807,0.41701,0.1925,4.6935e-05,0.00015645,4.6935e-05,0.00015645,4.6935e-05,0.00015645
31,9801.53,0.42465,0.48395,0.21401,0.80691,0.73719,0.79893,0.46042,0.33384,0.45151,0.19856,4.545e-05,0.0001515,4.545e-05,0.0001515,4.545e-05,0.0001515
32,10119.5,0.4238,0.47373,0.21457,0.8102,0.74958,0.80438,0.46247,0.32871,0.4226,0.19884,4.3965e-05,0.00014655,4.3965e-05,0.00014655,4.3965e-05,0.00014655
33,10436.7,0.41981,0.47063,0.21077,0.81093,0.7518,0.80293,0.46285,0.33447,0.41728,0.19954,4.248e-05,0.0001416,4.248e-05,0.0001416,4.248e-05,0.0001416
34,10752.9,0.42161,0.4712,0.21401,0.80843,0.73974,0.79668,0.46149,0.33829,0.42186,0.20144,4.0995e-05,0.00013665,4.0995e-05,0.00013665,4.0995e-05,0.00013665
35,11067.1,0.42028,0.46607,0.21056,0.81907,0.74932,0.80288,0.46642,0.32808,0.42221,0.19545,3.951e-05,0.0001317,3.951e-05,0.0001317,3.951e-05,0.0001317
36,11380.2,0.41309,0.46336,0.20802,0.79942,0.76139,0.80325,0.46551,0.33159,0.4062,0.2003,3.8025e-05,0.00012675,3.8025e-05,0.00012675,3.8025e-05,0.00012675
37,11693.4,0.41267,0.46394,0.20634,0.81069,0.74067,0.79913,0.46512,0.32903,0.39467,0.19756,3.654e-05,0.0001218,3.654e-05,0.0001218,3.654e-05,0.0001218
38,12008.1,0.40668,0.4582,0.20015,0.81077,0.74617,0.79826,0.46311,0.32849,0.38114,0.19971,3.5055e-05,0.00011685,3.5055e-05,0.00011685,3.5055e-05,0.00011685
39,12323.5,0.408,0.45336,0.20107,0.82109,0.74682,0.80549,0.46623,0.32703,0.38212,0.19807,3.357e-05,0.0001119,3.357e-05,0.0001119,3.357e-05,0.0001119
40,12638.2,0.40224,0.45204,0.20076,0.81695,0.75505,0.80587,0.4652,0.3297,0.37908,0.20055,3.2085e-05,0.00010695,3.2085e-05,0.00010695,3.2085e-05,0.00010695
41,12954.5,0.40092,0.44323,0.20063,0.82825,0.73195,0.79911,0.4609,0.32901,0.39559,0.20409,3.06e-05,0.000102,3.06e-05,0.000102,3.06e-05,0.000102
42,13270.4,0.40107,0.44725,0.1971,0.82217,0.748,0.80116,0.46374,0.32911,0.39055,0.20351,2.9115e-05,9.705e-05,2.9115e-05,9.705e-05,2.9115e-05,9.705e-05
43,13583.8,0.39656,0.44461,0.19792,0.82193,0.74781,0.80648,0.46663,0.32631,0.38534,0.20075,2.763e-05,9.21e-05,2.763e-05,9.21e-05,2.763e-05,9.21e-05
44,13900.3,0.39406,0.44155,0.19628,0.81511,0.76418,0.805,0.46788,0.32342,0.38229,0.19902,2.6145e-05,8.715e-05,2.6145e-05,8.715e-05,2.6145e-05,8.715e-05
45,14215.5,0.39125,0.4344,0.18876,0.82026,0.75728,0.80477,0.46788,0.32391,0.38485,0.20038,2.466e-05,8.22e-05,2.466e-05,8.22e-05,2.466e-05,8.22e-05
46,14532.5,0.38854,0.43856,0.19146,0.81125,0.75475,0.80345,0.46854,0.32377,0.39208,0.19853,2.3175e-05,7.725e-05,2.3175e-05,7.725e-05,2.3175e-05,7.725e-05
47,14846.7,0.38446,0.43609,0.18814,0.81171,0.7532,0.79826,0.46638,0.3272,0.38361,0.20206,2.169e-05,7.23e-05,2.169e-05,7.23e-05,2.169e-05,7.23e-05
48,15160.5,0.38417,0.43328,0.19115,0.8157,0.75162,0.7995,0.46629,0.32815,0.3759,0.20172,2.0205e-05,6.735e-05,2.0205e-05,6.735e-05,2.0205e-05,6.735e-05
49,15474.4,0.37866,0.43231,0.18427,0.81723,0.75721,0.79844,0.46682,0.32752,0.37802,0.20044,1.872e-05,6.24e-05,1.872e-05,6.24e-05,1.872e-05,6.24e-05
50,15790,0.37838,0.42821,0.18218,0.81492,0.75345,0.79809,0.46598,0.32966,0.37763,0.20295,1.7235e-05,5.745e-05,1.7235e-05,5.745e-05,1.7235e-05,5.745e-05
51,16104.8,0.35163,0.37841,0.17607,0.8163,0.75455,0.79958,0.46564,0.33077,0.37617,0.20406,1.575e-05,5.25e-05,1.575e-05,5.25e-05,1.575e-05,5.25e-05
52,16421.2,0.35045,0.37114,0.17226,0.82479,0.74901,0.79765,0.46666,0.33328,0.37195,0.20623,1.4265e-05,4.755e-05,1.4265e-05,4.755e-05,1.4265e-05,4.755e-05
53,16734.2,0.3445,0.37015,0.16788,0.81918,0.75005,0.79799,0.46614,0.3349,0.37056,0.20567,1.278e-05,4.26e-05,1.278e-05,4.26e-05,1.278e-05,4.26e-05
54,17049,0.342,0.36326,0.16742,0.81689,0.75602,0.79972,0.46695,0.33563,0.36561,0.20683,1.1295e-05,3.765e-05,1.1295e-05,3.765e-05,1.1295e-05,3.765e-05
55,17362.8,0.33873,0.36408,0.16651,0.82137,0.74848,0.79956,0.46593,0.33759,0.36163,0.20938,9.81e-06,3.27e-05,9.81e-06,3.27e-05,9.81e-06,3.27e-05
56,17679.3,0.33548,0.36072,0.16342,0.81752,0.75171,0.79921,0.46578,0.33695,0.35997,0.20947,8.325e-06,2.775e-05,8.325e-06,2.775e-05,8.325e-06,2.775e-05
57,17993.8,0.33533,0.36021,0.16204,0.81884,0.75149,0.79901,0.46461,0.33772,0.35929,0.20968,6.84e-06,2.28e-05,6.84e-06,2.28e-05,6.84e-06,2.28e-05
58,18308.3,0.33404,0.3563,0.16284,0.82464,0.74933,0.79866,0.46474,0.33971,0.3574,0.21062,5.355e-06,1.785e-05,5.355e-06,1.785e-05,5.355e-06,1.785e-05
59,18624.3,0.33223,0.35663,0.161,0.82138,0.74863,0.79854,0.46411,0.34041,0.35633,0.21074,3.87e-06,1.29e-05,3.87e-06,1.29e-05,3.87e-06,1.29e-05
60,18939.6,0.33199,0.35365,0.15703,0.81934,0.74937,0.79836,0.46347,0.34121,0.3559,0.21138,2.385e-06,7.95e-06,2.385e-06,7.95e-06,2.385e-06,7.95e-06
