epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,275.378,0.50199,0.64574,0.26479,0.73623,0.72842,0.78064,0.44736,0.31624,1.22454,0.17068,9.98967e-06,3.32989e-05,9.98967e-06,3.32989e-05,9.98967e-06,3.32989e-05
2,494.496,0.48943,0.59828,0.25015,0.77805,0.72892,0.80484,0.46431,0.30667,1.01571,0.17129,1.96598e-05,6.55328e-05,1.96598e-05,6.55328e-05,1.96598e-05,6.55328e-05
3,717.848,0.47806,0.5874,0.24887,0.78432,0.73139,0.81523,0.4751,0.31205,0.88739,0.16767,2.9e-05,9.66667e-05,2.9e-05,9.66667e-05,2.9e-05,9.66667e-05
4,939.209,0.47171,0.57386,0.24699,0.80085,0.74516,0.82171,0.47749,0.30667,0.64348,0.16883,2.8515e-05,9.505e-05,2.8515e-05,9.505e-05,2.8515e-05,9.505e-05
5,1161.37,0.46501,0.56076,0.24511,0.78327,0.75532,0.82083,0.4759,0.31398,0.68355,0.17017,2.802e-05,9.34e-05,2.802e-05,9.34e-05,2.802e-05,9.34e-05
6,1382.62,0.46767,0.55129,0.24457,0.79762,0.75238,0.82599,0.48463,0.31312,0.63811,0.17342,2.7525e-05,9.175e-05,2.7525e-05,9.175e-05,2.7525e-05,9.175e-05
7,1604.09,0.46095,0.54824,0.23702,0.80761,0.74119,0.82347,0.48481,0.30431,0.59946,0.16681,2.703e-05,9.01e-05,2.703e-05,9.01e-05,2.703e-05,9.01e-05
8,1825.12,0.46053,0.54206,0.23818,0.80245,0.76096,0.83201,0.48791,0.30666,0.71056,0.1691,2.6535e-05,8.845e-05,2.6535e-05,8.845e-05,2.6535e-05,8.845e-05
9,2047.49,0.46126,0.53163,0.23791,0.81179,0.75664,0.83421,0.4904,0.30862,0.55889,0.17065,2.604e-05,8.68e-05,2.604e-05,8.68e-05,2.604e-05,8.68e-05
10,2270.11,0.45359,0.5314,0.23686,0.81099,0.77769,0.84121,0.49225,0.31422,0.57112,0.17688,2.5545e-05,8.515e-05,2.5545e-05,8.515e-05,2.5545e-05,8.515e-05
11,2493.5,0.45083,0.5281,0.23072,0.81714,0.76505,0.83315,0.49087,0.31555,0.53617,0.17719,2.505e-05,8.35e-05,2.505e-05,8.35e-05,2.505e-05,8.35e-05
