epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,218.001,0.5054,0.65438,0.27005,0.67724,0.68965,0.72764,0.42059,0.31857,2.60381,0.17185,0,9.98967e-06,0,9.98967e-06,0,9.98967e-06
2,387.907,0.49555,0.63387,0.25248,0.70968,0.6886,0.75059,0.43403,0.31964,2.08724,0.17165,0,1.933e-05,0,1.933e-05,0,1.933e-05
3,559.43,0.48513,0.62661,0.25188,0.72089,0.69282,0.75885,0.43867,0.31844,1.86259,0.17033,0,2.80104e-05,0,2.80104e-05,0,2.80104e-05
4,727.779,0.48033,0.62095,0.24812,0.73548,0.70035,0.76724,0.44567,0.30852,1.7436,0.16879,0,2.703e-05,0,2.703e-05,0,2.703e-05
5,898.522,0.47691,0.61171,0.25036,0.74474,0.70239,0.77276,0.44656,0.31439,1.83196,0.17113,0,2.604e-05,0,2.604e-05,0,2.604e-05
6,1071.44,0.47895,0.60563,0.24986,0.74004,0.71094,0.77983,0.45268,0.31242,1.68382,0.16984,0,2.505e-05,0,2.505e-05,0,2.505e-05
7,1243.63,0.47702,0.60419,0.24608,0.73974,0.71581,0.7794,0.45328,0.31103,1.63534,0.1694,0,2.406e-05,0,2.406e-05,0,2.406e-05
8,1412.69,0.47483,0.60768,0.24421,0.74692,0.71376,0.78336,0.45521,0.31104,1.82067,0.16983,0,2.307e-05,0,2.307e-05,0,2.307e-05
9,1581.95,0.47743,0.60058,0.24358,0.7551,0.71517,0.787,0.4579,0.31078,1.64797,0.16861,0,2.208e-05,0,2.208e-05,0,2.208e-05
10,1748.77,0.47207,0.60322,0.24497,0.75403,0.71566,0.78738,0.45825,0.31079,1.46102,0.16975,0,2.109e-05,0,2.109e-05,0,2.109e-05
11,1921.31,0.47379,0.59962,0.2439,0.75948,0.70814,0.78699,0.45929,0.3123,1.42498,0.17,0,2.01e-05,0,2.01e-05,0,2.01e-05
12,2097.02,0.47331,0.59878,0.24443,0.75861,0.72137,0.79095,0.46026,0.31165,1.49897,0.17044,0,1.911e-05,0,1.911e-05,0,1.911e-05
13,2269.02,0.47358,0.59562,0.2471,0.75592,0.72362,0.79036,0.45938,0.31163,1.50378,0.16932,0,1.812e-05,0,1.812e-05,0,1.812e-05
14,2439.7,0.47366,0.59706,0.24421,0.76044,0.7191,0.7945,0.46143,0.30993,1.52033,0.16979,0,1.713e-05,0,1.713e-05,0,1.713e-05
15,2606.78,0.47289,0.5889,0.24589,0.76376,0.71897,0.79524,0.46227,0.31032,1.40617,0.17026,0,1.614e-05,0,1.614e-05,0,1.614e-05
16,2779.16,0.47077,0.59247,0.24378,0.7556,0.72601,0.79561,0.46398,0.31061,1.4008,0.1706,0,1.515e-05,0,1.515e-05,0,1.515e-05
17,2946.82,0.46386,0.5938,0.23855,0.76174,0.72798,0.79751,0.46409,0.30911,1.39552,0.16824,0,1.416e-05,0,1.416e-05,0,1.416e-05
18,3118.43,0.4701,0.59546,0.24299,0.76194,0.72565,0.79737,0.46604,0.30737,1.30037,0.16775,0,1.317e-05,0,1.317e-05,0,1.317e-05
19,3287.11,0.47032,0.59311,0.24114,0.76567,0.72089,0.79837,0.4661,0.30775,1.35496,0.16844,0,1.218e-05,0,1.218e-05,0,1.218e-05
20,3457.18,0.46823,0.5892,0.24276,0.76201,0.72866,0.80003,0.46632,0.30763,1.30154,0.16779,0,1.119e-05,0,1.119e-05,0,1.119e-05
21,3628.54,0.45984,0.56496,0.2604,0.76063,0.72929,0.79801,0.46812,0.30604,1.27703,0.16743,0,1.02e-05,0,1.02e-05,0,1.02e-05
22,3800.17,0.45792,0.55989,0.25812,0.75824,0.73309,0.79938,0.46906,0.30711,1.18425,0.1686,0,9.21e-06,0,9.21e-06,0,9.21e-06
23,3969.44,0.45575,0.55465,0.25392,0.76519,0.73225,0.80021,0.46862,0.30709,1.17338,0.16837,0,8.22e-06,0,8.22e-06,0,8.22e-06
24,4136.2,0.45795,0.55482,0.26076,0.75948,0.73914,0.80203,0.47059,0.30753,1.0808,0.16946,0,7.23e-06,0,7.23e-06,0,7.23e-06
25,4305.92,0.45383,0.55675,0.25729,0.76022,0.73638,0.80224,0.46997,0.30565,1.13754,0.16808,0,6.24e-06,0,6.24e-06,0,6.24e-06
26,4474.02,0.45629,0.55317,0.2586,0.76584,0.73564,0.8034,0.47069,0.30642,1.10714,0.16869,0,5.25e-06,0,5.25e-06,0,5.25e-06
27,4646.21,0.45437,0.55245,0.25564,0.76717,0.73718,0.8043,0.47067,0.30618,1.13936,0.16845,0,4.26e-06,0,4.26e-06,0,4.26e-06
28,4816.24,0.45571,0.55142,0.2576,0.76694,0.73446,0.80438,0.47172,0.30644,1.10757,0.1687,0,3.27e-06,0,3.27e-06,0,3.27e-06
29,4985.69,0.45517,0.55314,0.25573,0.76959,0.73255,0.80516,0.47168,0.3065,1.12856,0.1687,0,2.28e-06,0,2.28e-06,0,2.28e-06
30,5157.56,0.45542,0.55488,0.25448,0.76883,0.73533,0.80454,0.47187,0.30605,1.12783,0.16828,0,1.29e-06,0,1.29e-06,0,1.29e-06
