epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,272.005,1.82602,2.48687,2.52899,0.46572,0.42244,0.37433,0.17976,0.60044,1.91939,0.3674,9.98967e-06,3.32989e-05,9.98967e-06,3.32989e-05,9.98967e-06,3.32989e-05
2,491.108,0.65831,0.67831,0.4101,0.69651,0.57847,0.65611,0.35907,0.38772,1.24367,0.25947,1.80107e-05,6.00356e-05,1.80107e-05,6.00356e-05,1.80107e-05,6.00356e-05
3,714.39,0.54485,0.64252,0.32526,0.72315,0.61619,0.70534,0.39681,0.34537,0.91858,0.20071,2.40517e-05,8.01724e-05,2.40517e-05,8.01724e-05,2.40517e-05,8.01724e-05
4,939.942,0.51971,0.61545,0.30188,0.75931,0.6473,0.74448,0.42009,0.33324,0.74793,0.19608,2.109e-05,7.03e-05,2.109e-05,7.03e-05,2.109e-05,7.03e-05
5,1165.05,0.50469,0.59531,0.29005,0.74212,0.68223,0.76195,0.42898,0.33048,0.74121,0.19044,1.812e-05,6.04e-05,1.812e-05,6.04e-05,1.812e-05,6.04e-05
6,1389.88,0.4926,0.57766,0.28344,0.75778,0.71327,0.77156,0.43555,0.3297,0.63322,0.18996,1.515e-05,5.05e-05,1.515e-05,5.05e-05,1.515e-05,5.05e-05
7,1612.19,0.48853,0.5636,0.2807,0.74295,0.7116,0.77525,0.44147,0.32384,0.55897,0.18379,1.218e-05,4.06e-05,1.218e-05,4.06e-05,1.218e-05,4.06e-05
8,1836.16,0.48233,0.55582,0.27773,0.76943,0.70573,0.78768,0.44917,0.32568,0.55643,0.18745,9.21e-06,3.07e-05,9.21e-06,3.07e-05,9.21e-06,3.07e-05
9,2061.59,0.47669,0.54411,0.27171,0.78727,0.70789,0.78737,0.44852,0.32868,0.56841,0.19419,6.24e-06,2.08e-05,6.24e-06,2.08e-05,6.24e-06,2.08e-05
10,2280.12,0.47596,0.53809,0.27245,0.77005,0.71131,0.79149,0.44957,0.32731,0.59545,0.18982,3.27e-06,1.09e-05,3.27e-06,1.09e-05,3.27e-06,1.09e-05
