epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,274.244,0.49396,0.63226,0.2869,0.73887,0.71541,0.78122,0.45045,0.31607,1.21107,0.17213,9.98967e-06,3.32989e-05,9.98967e-06,3.32989e-05,9.98967e-06,3.32989e-05
2,500.365,0.47402,0.56459,0.26987,0.77705,0.72322,0.80764,0.46873,0.31402,0.94829,0.17326,1.80107e-05,6.00356e-05,1.80107e-05,6.00356e-05,1.80107e-05,6.00356e-05
3,722.366,0.46985,0.54136,0.26546,0.79457,0.75143,0.82348,0.47689,0.303,0.68872,0.16888,2.40517e-05,8.01724e-05,2.40517e-05,8.01724e-05,2.40517e-05,8.01724e-05
4,944.598,0.46418,0.52689,0.26129,0.80417,0.74985,0.82714,0.48327,0.29997,0.71009,0.1683,2.109e-05,7.03e-05,2.109e-05,7.03e-05,2.109e-05,7.03e-05
5,1171.84,0.45722,0.51531,0.25707,0.80186,0.76149,0.83564,0.48699,0.30453,0.58249,0.16851,1.812e-05,6.04e-05,1.812e-05,6.04e-05,1.812e-05,6.04e-05
6,1400.17,0.45206,0.50859,0.2561,0.81079,0.76375,0.83751,0.48856,0.30354,0.62639,0.16874,1.515e-05,5.05e-05,1.515e-05,5.05e-05,1.515e-05,5.05e-05
7,1625.43,0.44869,0.50167,0.25286,0.81687,0.75537,0.83781,0.48959,0.30268,0.64229,0.16936,1.218e-05,4.06e-05,1.218e-05,4.06e-05,1.218e-05,4.06e-05
8,1851.17,0.4469,0.49557,0.25078,0.81641,0.75748,0.83723,0.493,0.30544,0.63352,0.16816,9.21e-06,3.07e-05,9.21e-06,3.07e-05,9.21e-06,3.07e-05
9,2072.89,0.44446,0.48844,0.24768,0.80998,0.76041,0.83373,0.49194,0.30443,0.56083,0.16899,6.24e-06,2.08e-05,6.24e-06,2.08e-05,6.24e-06,2.08e-05
10,2296.41,0.4414,0.48859,0.24551,0.81513,0.76062,0.83735,0.49399,0.30398,0.58876,0.16827,3.27e-06,1.09e-05,3.27e-06,1.09e-05,3.27e-06,1.09e-05
