epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,95.5544,2.16026,0.31641,1.7803,0.00042,0.15638,0.00074,0.00015,0.81866,6.41219,0.64744,9.94652e-05,9.94652e-05,0.0669444
2,140.761,1.125,0.82631,0.61468,0.09698,0.18626,0.0685,0.02137,0.63027,1.38058,0.40762,0.000189592,0.000189592,0.0337012
3,184.685,0.79881,0.92391,0.43409,0.16627,0.31239,0.14691,0.0659,0.40262,5.13474,0.29054,0.000269818,0.000269818,0.000448071
4,228.273,0.65153,0.97494,0.36523,0.23817,0.35866,0.23649,0.11434,0.35618,3.08563,0.27017,0.0002406,0.0002406,0.0002406
5,272.041,0.6004,0.95077,0.34353,0.27511,0.34144,0.23675,0.1249,0.34315,2.98036,0.25865,0.00022575,0.00022575,0.00022575
6,316.249,0.56931,0.94452,0.33294,0.31819,0.37268,0.2703,0.12838,0.3604,2.57371,0.27329,0.0002109,0.0002109,0.0002109
7,360.78,0.55435,0.9321,0.31615,0.3772,0.42763,0.35416,0.18735,0.34766,2.93422,0.28379,0.00019605,0.00019605,0.00019605
8,406.006,0.54997,0.91606,0.308,0.33653,0.42961,0.32035,0.16612,0.3663,2.48674,0.28615,0.0001812,0.0001812,0.0001812
9,451.694,0.52365,0.90731,0.30268,0.40123,0.44989,0.38059,0.2122,0.338,3.6035,0.25316,0.00016635,0.00016635,0.00016635
10,496.34,0.53635,0.85477,0.30792,0.60876,0.41394,0.47677,0.25828,0.35175,2.51253,0.27088,0.0001515,0.0001515,0.0001515
11,540.399,0.50606,0.86199,0.33908,0.58121,0.4551,0.50705,0.27564,0.3392,1.19291,0.26982,0.00013665,0.00013665,0.00013665
12,584.781,0.50422,0.80368,0.34049,0.64275,0.48243,0.54469,0.2941,0.35137,1.50175,0.28163,0.0001218,0.0001218,0.0001218
13,630.732,0.50159,0.80272,0.33587,0.63587,0.50849,0.53407,0.29239,0.34516,1.04391,0.27105,0.00010695,0.00010695,0.00010695
14,676.92,0.49353,0.77677,0.32879,0.57548,0.55475,0.52738,0.28932,0.35004,1.63589,0.26876,9.21e-05,9.21e-05,9.21e-05
15,720.175,0.48179,0.7615,0.31904,0.62108,0.53777,0.57492,0.32243,0.34812,1.05496,0.28553,7.725e-05,7.725e-05,7.725e-05
16,764.555,0.48045,0.73675,0.32024,0.6593,0.54696,0.58567,0.32174,0.34265,1.0132,0.28415,6.24e-05,6.24e-05,6.24e-05
17,808.338,0.47689,0.71795,0.31647,0.69363,0.54096,0.60495,0.33934,0.34062,1.13323,0.27832,4.755e-05,4.755e-05,4.755e-05
18,851.188,0.46496,0.71076,0.30639,0.67782,0.56863,0.60487,0.34335,0.32361,0.98875,0.266,3.27e-05,3.27e-05,3.27e-05
19,896.459,0.4645,0.69538,0.30853,0.66526,0.57587,0.60548,0.34724,0.32109,0.9311,0.25715,1.785e-05,1.785e-05,1.785e-05
20,942.159,0.45909,0.67509,0.30402,0.67936,0.57678,0.61802,0.35199,0.33136,0.86165,0.26948,3e-06,3e-06,3e-06
