epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,98.6021,2.08492,1.25843,2.6444,0.16501,0.17332,0.07717,0.03454,0.53462,6.45863,0.43922,9.94652e-06,9.94652e-05,9.94652e-06,9.94652e-05,9.94652e-06,9.94652e-05
2,142.386,0.84305,0.6841,0.58606,0.59251,0.50385,0.53257,0.28734,0.38519,2.59844,0.31864,1.89592e-05,0.000189592,1.89592e-05,0.000189592,1.89592e-05,0.000189592
3,186.199,0.59955,0.70978,0.38112,0.71293,0.53762,0.62261,0.33963,0.35635,1.79048,0.28161,2.69818e-05,0.000269818,2.69818e-05,0.000269818,2.69818e-05,0.000269818
4,229.268,0.56908,0.68086,0.36269,0.74165,0.56001,0.649,0.34794,0.3558,1.61595,0.28679,2.406e-05,0.0002406,2.406e-05,0.0002406,2.406e-05,0.0002406
5,273.659,0.53634,0.675,0.33167,0.74577,0.56082,0.64466,0.36958,0.35103,1.79924,0.27867,2.2575e-05,0.00022575,2.2575e-05,0.00022575,2.2575e-05,0.00022575
6,318.614,0.52279,0.65857,0.33675,0.68044,0.62976,0.6723,0.38586,0.34931,1.68461,0.29677,2.109e-05,0.0002109,2.109e-05,0.0002109,2.109e-05,0.0002109
7,363.544,0.50754,0.65753,0.30677,0.7505,0.60422,0.67583,0.38467,0.3235,1.58399,0.26022,1.9605e-05,0.00019605,1.9605e-05,0.00019605,1.9605e-05,0.00019605
8,408.444,0.50498,0.63558,0.30719,0.72345,0.59742,0.65414,0.36945,0.35246,0.83355,0.31212,1.812e-05,0.0001812,1.812e-05,0.0001812,1.812e-05,0.0001812
9,451.725,0.48558,0.63682,0.30043,0.75117,0.58791,0.67391,0.37884,0.34121,1.33137,0.29397,1.6635e-05,0.00016635,1.6635e-05,0.00016635,1.6635e-05,0.00016635
10,496.004,0.48644,0.62402,0.29453,0.75254,0.60456,0.6763,0.36972,0.34295,1.09553,0.31184,1.515e-05,0.0001515,1.515e-05,0.0001515,1.515e-05,0.0001515
11,541.731,0.44986,0.59656,0.31175,0.73404,0.6514,0.70375,0.40059,0.31612,0.78402,0.24704,1.3665e-05,0.00013665,1.3665e-05,0.00013665,1.3665e-05,0.00013665
12,587.639,0.44164,0.57635,0.29535,0.7218,0.63927,0.69982,0.39832,0.33776,0.76173,0.29126,1.218e-05,0.0001218,1.218e-05,0.0001218,1.218e-05,0.0001218
13,632.457,0.4399,0.56721,0.29821,0.74077,0.622,0.69765,0.39242,0.33827,0.7759,0.29117,1.0695e-05,0.00010695,1.0695e-05,0.00010695,1.0695e-05,0.00010695
14,679.541,0.43795,0.55673,0.30168,0.72375,0.64012,0.69033,0.38495,0.32269,0.66314,0.27973,9.21e-06,9.21e-05,9.21e-06,9.21e-05,9.21e-06,9.21e-05
15,724.686,0.4291,0.55524,0.28658,0.75557,0.62884,0.69391,0.39275,0.32839,0.67288,0.28511,7.725e-06,7.725e-05,7.725e-06,7.725e-05,7.725e-06,7.725e-05
16,770.726,0.42727,0.53824,0.28693,0.75354,0.65653,0.69985,0.39356,0.33703,0.70064,0.30188,6.24e-06,6.24e-05,6.24e-06,6.24e-05,6.24e-06,6.24e-05
17,815.497,0.42511,0.54186,0.28463,0.74281,0.6575,0.70261,0.39684,0.33336,0.68251,0.29802,4.755e-06,4.755e-05,4.755e-06,4.755e-05,4.755e-06,4.755e-05
18,862.982,0.42069,0.53972,0.27521,0.75236,0.63791,0.69718,0.38942,0.33416,0.6867,0.29594,3.27e-06,3.27e-05,3.27e-06,3.27e-05,3.27e-06,3.27e-05
19,909.765,0.42506,0.53113,0.28366,0.75636,0.62976,0.70158,0.39205,0.32709,0.64597,0.28937,1.785e-06,1.785e-05,1.785e-06,1.785e-05,1.785e-06,1.785e-05
20,953.317,0.41421,0.52923,0.27596,0.74885,0.63815,0.70399,0.39455,0.32461,0.65306,0.29077,3e-07,3e-06,3e-07,3e-06,3e-07,3e-06
