epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,97.4855,2.05475,1.26506,2.61705,0.18215,0.27522,0.14335,0.06809,0.48523,5.71576,0.3638,2.98396e-05,9.94652e-05,2.98396e-05,9.94652e-05,2.98396e-05,9.94652e-05
2,141.782,0.79257,0.65941,0.54006,0.6198,0.52618,0.56487,0.29595,0.38705,2.88501,0.34177,5.68775e-05,0.000189592,5.68775e-05,0.000189592,5.68775e-05,0.000189592
3,185.948,0.59385,0.68583,0.37857,0.66496,0.53335,0.61582,0.34454,0.34216,2.45716,0.27044,8.09455e-05,0.000269818,8.09455e-05,0.000269818,8.09455e-05,0.000269818
4,229.397,0.56352,0.66098,0.35741,0.67006,0.6072,0.65284,0.37636,0.3603,1.24133,0.28097,7.218e-05,0.0002406,7.218e-05,0.0002406,7.218e-05,0.0002406
5,273.66,0.52506,0.66518,0.32144,0.70043,0.58608,0.64743,0.36398,0.36835,1.31828,0.31293,6.7725e-05,0.00022575,6.7725e-05,0.00022575,6.7725e-05,0.00022575
6,317.282,0.5109,0.64773,0.32169,0.65554,0.63189,0.66434,0.39925,0.32918,1.61736,0.26882,6.327e-05,0.0002109,6.327e-05,0.0002109,6.327e-05,0.0002109
7,361.233,0.49941,0.64153,0.30521,0.72528,0.59463,0.66615,0.38745,0.33504,1.46618,0.26542,5.8815e-05,0.00019605,5.8815e-05,0.00019605,5.8815e-05,0.00019605
8,406.056,0.49123,0.62523,0.29462,0.74577,0.60392,0.68273,0.38784,0.32579,0.91636,0.26383,5.436e-05,0.0001812,5.436e-05,0.0001812,5.436e-05,0.0001812
9,450.405,0.47679,0.61166,0.29104,0.7246,0.60514,0.67559,0.39828,0.32233,1.08752,0.26477,4.9905e-05,0.00016635,4.9905e-05,0.00016635,4.9905e-05,0.00016635
10,494.688,0.47523,0.60811,0.28331,0.71889,0.64208,0.68918,0.39616,0.3188,1.09763,0.26697,4.545e-05,0.0001515,4.545e-05,0.0001515,4.545e-05,0.0001515
11,538.919,0.4361,0.56945,0.29961,0.74288,0.61062,0.69938,0.4029,0.32829,0.82832,0.25758,4.0995e-05,0.00013665,4.0995e-05,0.00013665,4.0995e-05,0.00013665
12,584.864,0.43352,0.53626,0.29392,0.72943,0.63174,0.69986,0.4085,0.32643,0.84544,0.2739,3.654e-05,0.0001218,3.654e-05,0.0001218,3.654e-05,0.0001218
13,629.062,0.42538,0.52675,0.29014,0.71242,0.66661,0.70454,0.41209,0.31846,1.05113,0.2625,3.2085e-05,0.00010695,3.2085e-05,0.00010695,3.2085e-05,0.00010695
14,674.134,0.41893,0.52232,0.27877,0.74169,0.64507,0.69361,0.41046,0.31343,0.66619,0.25505,2.763e-05,9.21e-05,2.763e-05,9.21e-05,2.763e-05,9.21e-05
15,718.77,0.41158,0.51153,0.27243,0.74993,0.64103,0.71977,0.42322,0.29721,0.75134,0.23429,2.3175e-05,7.725e-05,2.3175e-05,7.725e-05,2.3175e-05,7.725e-05
16,762.629,0.40642,0.49609,0.2649,0.73793,0.61384,0.69909,0.41283,0.31643,0.75681,0.26423,1.872e-05,6.24e-05,1.872e-05,6.24e-05,1.872e-05,6.24e-05
17,808.249,0.40568,0.4937,0.26423,0.74319,0.6266,0.70515,0.41573,0.32347,0.63757,0.28526,1.4265e-05,4.755e-05,1.4265e-05,4.755e-05,1.4265e-05,4.755e-05
18,852.477,0.40343,0.48944,0.26011,0.70922,0.64393,0.71081,0.41466,0.31224,0.64293,0.27382,9.81e-06,3.27e-05,9.81e-06,3.27e-05,9.81e-06,3.27e-05
19,896.813,0.40341,0.48127,0.26415,0.72492,0.6398,0.71285,0.41677,0.31121,0.61797,0.25759,5.355e-06,1.785e-05,5.355e-06,1.785e-05,5.355e-06,1.785e-05
20,940.854,0.39211,0.47755,0.25466,0.7108,0.66452,0.71191,0.41603,0.31194,0.62753,0.24826,9e-07,3e-06,9e-07,3e-06,9e-07,3e-06
