epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,98.8979,1.51324,0.77024,1.11325,0.00108,0.22178,0.0023,0.00035,1.02413,13.7379,1.03811,9.94652e-05,9.94652e-05,0.0669444
2,143.955,1.09154,0.81671,0.5956,0.55262,0.11728,0.05415,0.01257,0.69076,5.17112,0.50033,0.000189592,0.000189592,0.0337012
3,190.091,0.7333,0.98379,0.40902,0.15435,0.29655,0.12812,0.05664,0.36324,6.65494,0.26863,0.000269818,0.000269818,0.000448071
4,235.298,0.59977,1.02135,0.34657,0.22975,0.33702,0.21152,0.11322,0.33712,4.20682,0.25017,0.0002406,0.0002406,0.0002406
5,281.454,0.57396,0.99444,0.32475,0.18493,0.37908,0.19155,0.1044,0.30848,3.88918,0.21548,0.00022575,0.00022575,0.00022575
6,325.065,0.53568,1.01624,0.30677,0.26085,0.37634,0.22218,0.11836,0.33105,4.73219,0.2439,0.0002109,0.0002109,0.0002109
7,369.903,0.52488,0.99087,0.29062,0.34467,0.38762,0.28536,0.15411,0.32413,4.96383,0.22963,0.00019605,0.00019605,0.00019605
8,414.687,0.5288,0.95044,0.29323,0.3199,0.41753,0.30661,0.17046,0.308,2.30941,0.21152,0.0001812,0.0001812,0.0001812
9,460.013,0.50631,0.95073,0.2817,0.3262,0.43746,0.34488,0.20081,0.30334,3.75634,0.21116,0.00016635,0.00016635,0.00016635
10,504.435,0.52917,0.88187,0.29933,0.52455,0.46055,0.48095,0.25094,0.33778,3.71967,0.2537,0.0001515,0.0001515,0.0001515
11,548.841,0.50155,0.87059,0.33077,0.51245,0.46235,0.46471,0.25818,0.30199,1.66242,0.20552,0.00013665,0.00013665,0.00013665
12,592.563,0.49564,0.83054,0.32904,0.61781,0.42756,0.4955,0.2699,0.34037,2.6526,0.26024,0.0001218,0.0001218,0.0001218
13,635.522,0.4842,0.81284,0.31776,0.63972,0.48113,0.53668,0.30037,0.33481,1.36485,0.24903,0.00010695,0.00010695,0.00010695
14,679.953,0.48284,0.77432,0.31716,0.61883,0.52587,0.54957,0.3022,0.32373,1.60818,0.24173,9.21e-05,9.21e-05,9.21e-05
15,723.952,0.46986,0.75572,0.31107,0.58846,0.53407,0.56211,0.31612,0.31443,1.74383,0.23112,7.725e-05,7.725e-05,7.725e-05
16,767.146,0.46233,0.75889,0.2995,0.54916,0.55118,0.55426,0.31473,0.31017,1.42742,0.22688,6.24e-05,6.24e-05,6.24e-05
17,809.504,0.46373,0.72495,0.29985,0.63767,0.54706,0.5857,0.32765,0.31462,1.80766,0.23598,4.755e-05,4.755e-05,4.755e-05
18,852.161,0.45893,0.72326,0.29686,0.61286,0.54889,0.57465,0.32398,0.3193,1.23987,0.25217,3.27e-05,3.27e-05,3.27e-05
19,892.905,0.46129,0.70597,0.30497,0.71665,0.53662,0.61222,0.33716,0.32604,1.28721,0.25094,1.785e-05,1.785e-05,1.785e-05
20,936.329,0.44566,0.68687,0.28758,0.74506,0.52549,0.61139,0.34057,0.32055,1.25063,0.24812,3e-06,3e-06,3e-06
