epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,97.2108,1.47796,0.74783,1.06588,0.01371,0.22073,0.00144,0.00027,0.92806,4.22384,0.86359,3.31551e-05,3.31551e-05,0.0668781
2,141.456,1.05015,0.86673,0.60572,0.02933,0.2037,0.05151,0.01856,0.50724,4.72108,0.40243,6.31972e-05,6.31972e-05,0.0335748
3,189.49,0.69928,1.03611,0.39281,0.12953,0.35644,0.13557,0.06696,0.35809,5.9402,0.2614,8.99394e-05,8.99394e-05,0.000268193
4,233.552,0.60383,1.0589,0.34376,0.1723,0.34067,0.14471,0.07565,0.33274,4.22339,0.24035,8.02e-05,8.02e-05,8.02e-05
5,278.808,0.57683,1.02239,0.31795,0.19423,0.36346,0.18059,0.09323,0.32491,5.33465,0.22903,7.525e-05,7.525e-05,7.525e-05
6,324.491,0.55201,1.0099,0.31643,0.23591,0.34227,0.20773,0.10792,0.31581,4.91746,0.20891,7.03e-05,7.03e-05,7.03e-05
7,369.402,0.5586,0.94557,0.31342,0.5603,0.37344,0.4194,0.22196,0.32815,3.39626,0.2348,6.535e-05,6.535e-05,6.535e-05
8,414.507,0.57076,0.85492,0.31752,0.56697,0.41482,0.45523,0.24844,0.32043,4.42927,0.23449,6.04e-05,6.04e-05,6.04e-05
9,458.186,0.5605,0.82173,0.32483,0.61508,0.44798,0.49939,0.26585,0.35108,4.13039,0.2647,5.545e-05,5.545e-05,5.545e-05
10,502.757,0.56355,0.78641,0.3309,0.61482,0.47742,0.5227,0.28029,0.37356,3.34826,0.28236,5.05e-05,5.05e-05,5.05e-05
11,547.249,0.52603,0.80261,0.34755,0.60017,0.53027,0.54164,0.30272,0.3664,2.14774,0.27551,4.555e-05,4.555e-05,4.555e-05
12,592.125,0.52372,0.74367,0.34691,0.71785,0.5008,0.57706,0.31439,0.33728,2.17031,0.25648,4.06e-05,4.06e-05,4.06e-05
13,635.945,0.51188,0.75376,0.33821,0.64294,0.54988,0.58429,0.31411,0.34706,1.68634,0.27462,3.565e-05,3.565e-05,3.565e-05
14,680.015,0.51342,0.72313,0.336,0.64076,0.56833,0.60753,0.33102,0.35845,2.08586,0.2854,3.07e-05,3.07e-05,3.07e-05
15,724.161,0.50101,0.70539,0.33337,0.62067,0.5956,0.59196,0.3229,0.34996,1.46555,0.27305,2.575e-05,2.575e-05,2.575e-05
16,768.596,0.50037,0.70334,0.33082,0.71078,0.54371,0.60123,0.32984,0.34901,1.22081,0.27577,2.08e-05,2.08e-05,2.08e-05
17,813.304,0.49557,0.69435,0.32561,0.63073,0.57834,0.59478,0.33141,0.34735,1.44599,0.2752,1.585e-05,1.585e-05,1.585e-05
18,858.803,0.50309,0.67376,0.33032,0.66552,0.56941,0.60299,0.33138,0.3494,1.42997,0.27476,1.09e-05,1.09e-05,1.09e-05
19,903.895,0.49689,0.67123,0.33359,0.65592,0.59912,0.62356,0.3455,0.34681,1.33049,0.27652,5.95e-06,5.95e-06,5.95e-06
20,950.089,0.48994,0.6633,0.32124,0.65717,0.58784,0.62351,0.34706,0.34337,1.28019,0.2627,1e-06,1e-06,1e-06
