epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,95.7175,1.61368,0.9539,1.47263,0.00046,0.25,0.00283,0.00066,1.01722,2.77168,0.86175,9.94652e-05,9.94652e-05,0.0669444
2,139.008,1.25325,0.70545,0.87229,0.03879,0.34646,0.0571,0.01517,0.64241,3.54269,0.46895,0.000189592,0.000189592,0.0337012
3,182.889,0.95684,0.83804,0.60615,0.13782,0.27764,0.11166,0.04125,0.46988,1.63132,0.34115,0.000269818,0.000269818,0.000448071
4,226.689,0.67743,1.04228,0.45538,0.13353,0.31377,0.13135,0.06482,0.36927,3.8896,0.285,0.0002406,0.0002406,0.0002406
5,270.676,0.5758,1.08893,0.39004,0.18446,0.41712,0.20085,0.09589,0.35931,3.37018,0.25766,0.00022575,0.00022575,0.00022575
6,315.094,0.53448,1.10292,0.34963,0.19669,0.34456,0.17155,0.08988,0.3105,2.84338,0.21394,0.0002109,0.0002109,0.0002109
7,359.618,0.50928,1.0883,0.3243,0.21782,0.39875,0.22061,0.1235,0.29954,2.61157,0.21093,0.00019605,0.00019605,0.00019605
8,405.68,0.49396,1.05187,0.3092,0.2337,0.36997,0.21973,0.12162,0.30373,2.55798,0.20848,0.0001812,0.0001812,0.0001812
9,450.474,0.50094,0.95924,0.31316,0.5903,0.45126,0.46779,0.25609,0.34076,2.31189,0.26629,0.00016635,0.00016635,0.00016635
10,494.661,0.52565,0.87456,0.33936,0.55761,0.44142,0.47392,0.25133,0.34048,2.59711,0.24201,0.0001515,0.0001515,0.0001515
11,539.849,0.50413,0.84598,0.32845,0.55687,0.53645,0.52121,0.27937,0.35897,2.25165,0.28255,0.00013665,0.00013665,0.00013665
12,585.789,0.50871,0.79801,0.33581,0.63051,0.53068,0.55051,0.28744,0.34789,3.03857,0.26862,0.0001218,0.0001218,0.0001218
13,631.518,0.50072,0.79251,0.33002,0.60749,0.53403,0.54234,0.30817,0.31402,1.39547,0.23209,0.00010695,0.00010695,0.00010695
14,676.499,0.48712,0.76629,0.3237,0.56757,0.57297,0.55268,0.30878,0.32744,1.72347,0.25717,9.21e-05,9.21e-05,9.21e-05
15,720.044,0.47532,0.75021,0.31635,0.6523,0.51954,0.57113,0.31468,0.33711,1.47334,0.27196,7.725e-05,7.725e-05,7.725e-05
16,765.471,0.48466,0.71504,0.3237,0.62182,0.54394,0.55867,0.31226,0.34403,1.65769,0.28158,6.24e-05,6.24e-05,6.24e-05
17,808.901,0.47862,0.69815,0.31613,0.62546,0.56008,0.57886,0.32085,0.33862,1.60581,0.28045,4.755e-05,4.755e-05,4.755e-05
18,852.782,0.46954,0.6926,0.30689,0.64484,0.57564,0.59456,0.33073,0.32708,1.32233,0.26961,3.27e-05,3.27e-05,3.27e-05
19,896.488,0.47082,0.68476,0.31306,0.70407,0.57708,0.61931,0.34748,0.3268,1.33628,0.26839,1.785e-05,1.785e-05,1.785e-05
20,941.904,0.45873,0.66496,0.30178,0.70334,0.57329,0.6153,0.35154,0.32646,1.23876,0.26722,3e-06,3e-06,3e-06
