epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,98.2787,2.56021,3.37455,4.33551,0.00957,0.01837,0.00144,0.00074,1.53228,16.7983,2.81069,3.31551e-06,3.31551e-05,3.31551e-06,3.31551e-05,3.31551e-06,3.31551e-05
2,142.31,1.63342,0.56413,2.11724,0.16103,0.13993,0.07014,0.03593,0.57072,5.97787,0.45728,6.31972e-06,6.31972e-05,6.31972e-06,6.31972e-05,6.31972e-06,6.31972e-05
3,186.948,0.84732,0.75425,0.66161,0.52051,0.36766,0.40719,0.20862,0.47426,1.69845,0.37075,8.99394e-06,8.99394e-05,8.99394e-06,8.99394e-05,8.99394e-06,8.99394e-05
4,230.128,0.71085,0.67487,0.52777,0.61208,0.47687,0.54579,0.30111,0.39564,1.25787,0.30977,8.02e-06,8.02e-05,8.02e-06,8.02e-05,8.02e-06,8.02e-05
5,274.623,0.58276,0.68869,0.41752,0.71856,0.54188,0.63111,0.34003,0.36077,0.79695,0.28926,7.525e-06,7.525e-05,7.525e-06,7.525e-05,7.525e-06,7.525e-05
6,319.107,0.53473,0.68946,0.3764,0.71446,0.55738,0.63126,0.35648,0.33189,1.03639,0.27123,7.03e-06,7.03e-05,7.03e-06,7.03e-05,7.03e-06,7.03e-05
7,363.132,0.51719,0.67876,0.35544,0.72071,0.54068,0.63478,0.36739,0.33705,1.2832,0.27824,6.535e-06,6.535e-05,6.535e-06,6.535e-05,6.535e-06,6.535e-05
8,407.643,0.50311,0.65781,0.33931,0.66374,0.57046,0.64351,0.36217,0.32902,0.92161,0.26838,6.04e-06,6.04e-05,6.04e-06,6.04e-05,6.04e-06,6.04e-05
9,453.069,0.48291,0.6555,0.32102,0.65703,0.57252,0.64426,0.37303,0.32805,0.82765,0.27219,5.545e-06,5.545e-05,5.545e-06,5.545e-05,5.545e-06,5.545e-05
10,498.64,0.48661,0.63021,0.33056,0.71825,0.58593,0.66094,0.37866,0.32454,0.83103,0.26278,5.05e-06,5.05e-05,5.05e-06,5.05e-05,5.05e-06,5.05e-05
11,543.773,0.47676,0.63564,0.32429,0.71258,0.57277,0.66368,0.38325,0.33362,0.79206,0.27052,4.555e-06,4.555e-05,4.555e-06,4.555e-05,4.555e-06,4.555e-05
12,589.306,0.47038,0.62292,0.31743,0.70998,0.58395,0.66251,0.38541,0.32215,0.72437,0.25262,4.06e-06,4.06e-05,4.06e-06,4.06e-05,4.06e-06,4.06e-05
13,635.334,0.46339,0.6232,0.31001,0.73213,0.59519,0.66325,0.38803,0.33196,0.73221,0.27435,3.565e-06,3.565e-05,3.565e-06,3.565e-05,3.565e-06,3.565e-05
14,678.591,0.4602,0.62731,0.30857,0.73432,0.60536,0.65676,0.38512,0.3181,0.76261,0.25185,3.07e-06,3.07e-05,3.07e-06,3.07e-05,3.07e-06,3.07e-05
15,722.242,0.45849,0.60613,0.3076,0.74017,0.59705,0.669,0.38805,0.32227,0.71777,0.25282,2.575e-06,2.575e-05,2.575e-06,2.575e-05,2.575e-06,2.575e-05
16,766.965,0.46159,0.59192,0.31243,0.74055,0.59614,0.6688,0.38868,0.32107,0.75371,0.25581,2.08e-06,2.08e-05,2.08e-06,2.08e-05,2.08e-06,2.08e-05
17,810.856,0.46208,0.59763,0.30948,0.74016,0.60463,0.67259,0.39317,0.31497,0.732,0.24638,1.585e-06,1.585e-05,1.585e-06,1.585e-05,1.585e-06,1.585e-05
18,853.95,0.45814,0.60347,0.30823,0.72281,0.59607,0.66736,0.39119,0.31662,0.72142,0.25008,1.09e-06,1.09e-05,1.09e-06,1.09e-05,1.09e-06,1.09e-05
19,898.294,0.46498,0.59311,0.30927,0.72019,0.58739,0.66342,0.38756,0.30994,0.71996,0.2563,5.95e-07,5.95e-06,5.95e-07,5.95e-06,5.95e-07,5.95e-06
20,940.722,0.44876,0.59785,0.29826,0.71107,0.6036,0.66756,0.39207,0.31618,0.70871,0.25378,1e-07,1e-06,1e-07,1e-06,1e-07,1e-06
