epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,95.8997,1.42054,0.79534,1.02434,0.00447,0.39777,0.00494,0.00094,0.85605,7.20123,0.69036,9.94652e-05,9.94652e-05,0.0669444
2,141.229,1.08024,0.83238,0.59062,0.52617,0.15844,0.05875,0.02106,0.54722,5.14824,0.35746,0.000189592,0.000189592,0.0337012
3,185.101,0.71051,1.01997,0.38619,0.16725,0.33503,0.12417,0.0565,0.37109,5.61443,0.26633,0.000269818,0.000269818,0.000448071
4,229.783,0.58696,1.04396,0.33983,0.1783,0.31118,0.15796,0.08743,0.3141,3.625,0.23302,0.0002406,0.0002406,0.0002406
5,274.23,0.54566,1.01729,0.31351,0.23917,0.36087,0.22486,0.12163,0.31553,3.05706,0.24989,0.00022575,0.00022575,0.00022575
6,319.329,0.53151,0.99173,0.31138,0.26768,0.38252,0.23162,0.12654,0.33828,3.793,0.25111,0.0002109,0.0002109,0.0002109
7,363.576,0.51532,0.97861,0.29126,0.33084,0.38205,0.30587,0.17021,0.3098,3.21888,0.23091,0.00019605,0.00019605,0.00019605
8,408.943,0.54161,0.8677,0.31056,0.54125,0.45529,0.46114,0.24718,0.35536,3.98654,0.27731,0.0001812,0.0001812,0.0001812
9,454.059,0.5264,0.81038,0.31341,0.54302,0.48645,0.48037,0.26556,0.31943,3.92374,0.2442,0.00016635,0.00016635,0.00016635
10,498.504,0.52691,0.79979,0.30961,0.62655,0.50575,0.53274,0.29063,0.31306,3.21807,0.24171,0.0001515,0.0001515,0.0001515
11,543.615,0.48872,0.81686,0.33412,0.64182,0.53982,0.58293,0.321,0.33042,1.97126,0.25808,0.00013665,0.00013665,0.00013665
12,588.418,0.48933,0.75767,0.33267,0.6309,0.56629,0.58283,0.32726,0.34459,2.18744,0.28458,0.0001218,0.0001218,0.0001218
13,633.149,0.47605,0.75958,0.32157,0.69073,0.51373,0.58361,0.32951,0.32623,1.50419,0.25409,0.00010695,0.00010695,0.00010695
14,678.057,0.46839,0.74237,0.30996,0.64141,0.54607,0.58792,0.33332,0.31153,2.39953,0.25497,9.21e-05,9.21e-05,9.21e-05
15,721.565,0.4571,0.7169,0.30445,0.71683,0.56208,0.63776,0.35253,0.34123,1.56446,0.27765,7.725e-05,7.725e-05,7.725e-05
16,764.289,0.45867,0.68184,0.30565,0.7395,0.56124,0.63811,0.3447,0.32909,1.34679,0.27338,6.24e-05,6.24e-05,6.24e-05
17,807.711,0.45535,0.66455,0.29952,0.67529,0.61657,0.64178,0.36064,0.32225,1.33548,0.27996,4.755e-05,4.755e-05,4.755e-05
18,851.845,0.44815,0.65358,0.29749,0.69549,0.62765,0.66557,0.37692,0.31859,1.20198,0.26599,3.27e-05,3.27e-05,3.27e-05
19,897.65,0.44779,0.64002,0.29615,0.7475,0.60114,0.659,0.37324,0.30927,1.08503,0.24184,1.785e-05,1.785e-05,1.785e-05
20,942.764,0.44175,0.61957,0.29429,0.72117,0.62876,0.6747,0.38264,0.31482,0.96064,0.25196,3e-06,3e-06,3e-06
