epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,276.939,0.83156,2.51734,0.49736,0.60952,0.56409,0.59636,0.31375,0.38413,2.94465,0.21105,2.9969e-05,9.98967e-05,2.9969e-05,9.98967e-05,2.9969e-05,9.98967e-05
2,497.531,0.57042,0.6918,0.30511,0.67914,0.62819,0.68681,0.37827,0.33277,1.4373,0.19604,5.70005e-05,0.000190002,5.70005e-05,0.000190002,5.70005e-05,0.000190002
3,722.361,0.54017,0.66404,0.29185,0.71956,0.63758,0.7084,0.38466,0.32864,1.22142,0.18496,8.10621e-05,0.000270207,8.10621e-05,0.000270207,8.10621e-05,0.000270207
4,948.626,0.52644,0.64526,0.28218,0.72364,0.65913,0.71905,0.40028,0.33144,0.97192,0.18506,7.6635e-05,0.00025545,7.6635e-05,0.00025545,7.6635e-05,0.00025545
5,1172.92,0.51451,0.62875,0.27821,0.75916,0.67518,0.74322,0.41557,0.33111,0.61389,0.19379,7.218e-05,0.0002406,7.218e-05,0.0002406,7.218e-05,0.0002406
6,1396.48,0.51086,0.60696,0.27487,0.75143,0.68065,0.75914,0.42516,0.31989,0.85696,0.18867,6.7725e-05,0.00022575,6.7725e-05,0.00022575,6.7725e-05,0.00022575
7,1622.15,0.5019,0.59759,0.26685,0.75149,0.70807,0.76457,0.43219,0.33301,0.58036,0.18897,6.327e-05,0.0002109,6.327e-05,0.0002109,6.327e-05,0.0002109
8,1847.86,0.4973,0.58746,0.26589,0.77695,0.70169,0.77713,0.44284,0.31909,0.61752,0.18185,5.8815e-05,0.00019605,5.8815e-05,0.00019605,5.8815e-05,0.00019605
9,2071.32,0.49186,0.57513,0.25588,0.76982,0.70847,0.77497,0.43803,0.32241,0.6364,0.18597,5.436e-05,0.0001812,5.436e-05,0.0001812,5.436e-05,0.0001812
10,2294.29,0.48519,0.57009,0.2584,0.77887,0.7175,0.78318,0.45099,0.32146,0.58427,0.19158,4.9905e-05,0.00016635,4.9905e-05,0.00016635,4.9905e-05,0.00016635
11,2521.15,0.46804,0.52441,0.27134,0.78657,0.72224,0.79768,0.46142,0.32372,0.48936,0.18383,4.545e-05,0.0001515,4.545e-05,0.0001515,4.545e-05,0.0001515
12,2744.78,0.45818,0.51676,0.26218,0.80088,0.71864,0.79849,0.46074,0.31685,0.49541,0.17945,4.0995e-05,0.00013665,4.0995e-05,0.00013665,4.0995e-05,0.00013665
13,2964.25,0.45001,0.50147,0.25343,0.77622,0.74641,0.80883,0.46785,0.31861,0.55156,0.1811,3.654e-05,0.0001218,3.654e-05,0.0001218,3.654e-05,0.0001218
14,3186.08,0.44869,0.48936,0.25073,0.7936,0.72903,0.80601,0.46718,0.31991,0.46107,0.18362,3.2085e-05,0.00010695,3.2085e-05,0.00010695,3.2085e-05,0.00010695
15,3411.19,0.43895,0.4803,0.24835,0.78438,0.74503,0.80612,0.46549,0.32099,0.43085,0.18347,2.763e-05,9.21e-05,2.763e-05,9.21e-05,2.763e-05,9.21e-05
16,3629.55,0.43477,0.4691,0.24349,0.79256,0.75237,0.81002,0.47434,0.32572,0.37578,0.18588,2.3175e-05,7.725e-05,2.3175e-05,7.725e-05,2.3175e-05,7.725e-05
17,3853.6,0.4328,0.46078,0.23856,0.80531,0.73894,0.81038,0.47716,0.32009,0.40389,0.18152,1.872e-05,6.24e-05,1.872e-05,6.24e-05,1.872e-05,6.24e-05
18,4077.06,0.42495,0.45615,0.23279,0.80864,0.74583,0.81593,0.47528,0.32032,0.36684,0.1867,1.4265e-05,4.755e-05,1.4265e-05,4.755e-05,1.4265e-05,4.755e-05
19,4299.78,0.42028,0.45092,0.23054,0.78729,0.76022,0.81669,0.4764,0.32268,0.38926,0.19133,9.81e-06,3.27e-05,9.81e-06,3.27e-05,9.81e-06,3.27e-05
20,4519.45,0.41887,0.44032,0.22619,0.80312,0.74341,0.815,0.47655,0.3221,0.36115,0.18901,5.355e-06,1.785e-05,5.355e-06,1.785e-05,5.355e-06,1.785e-05
