epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,283.031,0.50062,0.64782,0.26407,0.73787,0.72152,0.77695,0.44749,0.31465,1.22726,0.16884,9.98967e-06,3.32989e-05,9.98967e-06,3.32989e-05,9.98967e-06,3.32989e-05
2,508.329,0.48797,0.6004,0.24888,0.78107,0.72574,0.80152,0.46425,0.30741,1.02181,0.17251,1.90002e-05,6.33339e-05,1.90002e-05,6.33339e-05,1.90002e-05,6.33339e-05
3,732.53,0.47862,0.58646,0.25008,0.77652,0.74187,0.814,0.47467,0.30865,0.82813,0.16881,2.70207e-05,9.0069e-05,2.70207e-05,9.0069e-05,2.70207e-05,9.0069e-05
4,958.249,0.47198,0.57664,0.24505,0.78918,0.75115,0.82023,0.47893,0.30413,0.61938,0.16828,2.5545e-05,8.515e-05,2.5545e-05,8.515e-05,2.5545e-05,8.515e-05
5,1184.24,0.46478,0.56333,0.24403,0.77934,0.77009,0.82232,0.47987,0.30767,0.71936,0.16894,2.406e-05,8.02e-05,2.406e-05,8.02e-05,2.406e-05,8.02e-05
6,1410.45,0.46674,0.55473,0.24335,0.80579,0.75421,0.8271,0.48487,0.30821,0.6861,0.16853,2.2575e-05,7.525e-05,2.2575e-05,7.525e-05,2.2575e-05,7.525e-05
7,1633.82,0.46178,0.547,0.23796,0.79282,0.7658,0.82526,0.48749,0.30237,0.61732,0.16587,2.109e-05,7.03e-05,2.109e-05,7.03e-05,2.109e-05,7.03e-05
8,1858.74,0.46006,0.54619,0.23785,0.7948,0.76453,0.83088,0.49083,0.30726,0.67746,0.16823,1.9605e-05,6.535e-05,1.9605e-05,6.535e-05,1.9605e-05,6.535e-05
9,2084.21,0.45913,0.53541,0.23576,0.80644,0.75702,0.83074,0.48836,0.3056,0.56313,0.16965,1.812e-05,6.04e-05,1.812e-05,6.04e-05,1.812e-05,6.04e-05
10,2309.14,0.45503,0.53438,0.23736,0.80173,0.77607,0.83725,0.49352,0.3057,0.57849,0.17173,1.6635e-05,5.545e-05,1.6635e-05,5.545e-05,1.6635e-05,5.545e-05
11,2534.08,0.44199,0.48731,0.24733,0.80144,0.78352,0.8373,0.49303,0.30341,0.56293,0.16932,1.515e-05,5.05e-05,1.515e-05,5.05e-05,1.515e-05,5.05e-05
12,2752.93,0.4381,0.48206,0.24542,0.81128,0.77759,0.83904,0.49549,0.30435,0.52659,0.16602,1.3665e-05,4.555e-05,1.3665e-05,4.555e-05,1.3665e-05,4.555e-05
13,2976.49,0.43329,0.47915,0.23739,0.81601,0.77523,0.84414,0.49991,0.30231,0.53784,0.16781,1.218e-05,4.06e-05,1.218e-05,4.06e-05,1.218e-05,4.06e-05
14,3200.75,0.43269,0.47361,0.23667,0.81726,0.77735,0.84275,0.49861,0.30409,0.49553,0.17034,1.0695e-05,3.565e-05,1.0695e-05,3.565e-05,1.0695e-05,3.565e-05
15,3424.63,0.42566,0.46654,0.23534,0.81794,0.77297,0.8387,0.49683,0.30838,0.50344,0.17381,9.21e-06,3.07e-05,9.21e-06,3.07e-05,9.21e-06,3.07e-05
16,3645.77,0.42747,0.46137,0.23891,0.82795,0.77063,0.84249,0.50264,0.30599,0.48858,0.17144,7.725e-06,2.575e-05,7.725e-06,2.575e-05,7.725e-06,2.575e-05
17,3864.98,0.42682,0.45766,0.23329,0.83313,0.77378,0.84339,0.50231,0.30532,0.47973,0.17366,6.24e-06,2.08e-05,6.24e-06,2.08e-05,6.24e-06,2.08e-05
18,4088.98,0.42599,0.4601,0.2352,0.82958,0.77908,0.84639,0.50157,0.30669,0.46944,0.17419,4.755e-06,1.585e-05,4.755e-06,1.585e-05,4.755e-06,1.585e-05
19,4312.45,0.42436,0.45577,0.23386,0.82509,0.7857,0.84514,0.50264,0.3059,0.4718,0.17182,3.27e-06,1.09e-05,3.27e-06,1.09e-05,3.27e-06,1.09e-05
20,4536.61,0.42373,0.4542,0.23051,0.82877,0.77868,0.84221,0.50251,0.30693,0.46675,0.17409,1.785e-06,5.95e-06,1.785e-06,5.95e-06,1.785e-06,5.95e-06
