epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,1473.08,0.78613,0.85161,0.71877,0.73858,0.61895,0.70525,0.42857,0.24854,1.02212,0.1921,2.99944e-05,9.99813e-05,2.99944e-05,9.99813e-05,2.99944e-05,9.99813e-05
2,2875.99,0.4773,0.65406,0.29458,0.75639,0.65584,0.74342,0.4618,0.23706,0.77063,0.18357,5.9252e-05,0.000197507,5.9252e-05,0.000197507,5.9252e-05,0.000197507
3,4260.47,0.46774,0.64394,0.28766,0.77426,0.66362,0.75969,0.48386,0.22316,0.6649,0.16874,8.7767e-05,0.000292557,8.7767e-05,0.000292557,8.7767e-05,0.000292557
4,6188.12,0.46118,0.63251,0.28442,0.77148,0.67496,0.76816,0.49833,0.21597,0.64751,0.16136,8.5545e-05,0.00028515,8.5545e-05,0.00028515,8.5545e-05,0.00028515
5,8045.6,0.4525,0.62287,0.27932,0.78196,0.68307,0.77519,0.50512,0.21477,0.63128,0.16466,8.44312e-05,0.000281437,8.44312e-05,0.000281437,8.44312e-05,0.000281437
6,9903.72,0.44831,0.61456,0.2752,0.7894,0.68753,0.78109,0.51224,0.21132,0.63188,0.16158,8.33175e-05,0.000277725,8.33175e-05,0.000277725,8.33175e-05,0.000277725
7,11750.8,0.44322,0.60968,0.27095,0.7854,0.69255,0.78665,0.52013,0.20711,0.63521,0.15614,8.22037e-05,0.000274012,8.22037e-05,0.000274012,8.22037e-05,0.000274012
8,13572,0.43911,0.60254,0.26655,0.79368,0.69383,0.79031,0.52398,0.20586,0.64143,0.1563,8.109e-05,0.0002703,8.109e-05,0.0002703,8.109e-05,0.0002703
9,15386.7,0.43721,0.59425,0.26756,0.78741,0.69847,0.78964,0.52445,0.20496,0.65633,0.15623,7.99762e-05,0.000266587,7.99762e-05,0.000266587,7.99762e-05,0.000266587
10,17250.9,0.43254,0.59557,0.26481,0.79104,0.69976,0.79271,0.5283,0.20375,0.64425,0.15504,7.88625e-05,0.000262875,7.88625e-05,0.000262875,7.88625e-05,0.000262875
11,19139.1,0.43215,0.58775,0.26327,0.79288,0.70171,0.79401,0.52949,0.2036,0.64511,0.15536,7.77487e-05,0.000259163,7.77487e-05,0.000259163,7.77487e-05,0.000259163
12,21017.4,0.42894,0.58359,0.26203,0.7912,0.70294,0.79479,0.53097,0.20284,0.64693,0.15417,7.6635e-05,0.00025545,7.6635e-05,0.00025545,7.6635e-05,0.00025545
13,22830.5,0.42742,0.57853,0.2591,0.79244,0.70377,0.79567,0.53224,0.20236,0.64374,0.15455,7.55212e-05,0.000251737,7.55212e-05,0.000251737,7.55212e-05,0.000251737
14,24678.9,0.42307,0.58028,0.25896,0.79152,0.70422,0.79524,0.53242,0.20139,0.64021,0.154,7.44075e-05,0.000248025,7.44075e-05,0.000248025,7.44075e-05,0.000248025
15,26569.9,0.4202,0.57617,0.25675,0.78916,0.70675,0.79606,0.53379,0.20091,0.63711,0.15386,7.32937e-05,0.000244312,7.32937e-05,0.000244312,7.32937e-05,0.000244312
16,28457.5,0.41622,0.57256,0.25386,0.79026,0.70651,0.79623,0.5341,0.2004,0.63566,0.15374,7.218e-05,0.0002406,7.218e-05,0.0002406,7.218e-05,0.0002406
17,30307.4,0.41698,0.56688,0.25358,0.79072,0.7083,0.7974,0.53547,0.19938,0.63496,0.15231,7.10662e-05,0.000236887,7.10662e-05,0.000236887,7.10662e-05,0.000236887
18,32174.4,0.41433,0.56869,0.25076,0.7886,0.71197,0.79823,0.53626,0.19902,0.62655,0.15246,6.99525e-05,0.000233175,6.99525e-05,0.000233175,6.99525e-05,0.000233175
19,34065.9,0.41222,0.56283,0.25072,0.79002,0.71344,0.79928,0.53739,0.19893,0.61982,0.15283,6.88387e-05,0.000229462,6.88387e-05,0.000229462,6.88387e-05,0.000229462
20,35902.6,0.41134,0.55952,0.25031,0.79282,0.71141,0.8002,0.53805,0.19862,0.60947,0.15245,6.7725e-05,0.00022575,6.7725e-05,0.00022575,6.7725e-05,0.00022575
21,37732.1,0.41095,0.55683,0.24996,0.79154,0.71336,0.79963,0.53826,0.19828,0.60361,0.15188,6.66112e-05,0.000222037,6.66112e-05,0.000222037,6.66112e-05,0.000222037
22,39491.3,0.41036,0.55409,0.24913,0.79355,0.71327,0.79964,0.53885,0.19802,0.59491,0.15149,6.54975e-05,0.000218325,6.54975e-05,0.000218325,6.54975e-05,0.000218325
23,41247.6,0.40811,0.55125,0.24746,0.79271,0.71336,0.80077,0.5398,0.19783,0.5814,0.15198,6.43837e-05,0.000214612,6.43837e-05,0.000214612,6.43837e-05,0.000214612
24,42998,0.4053,0.55171,0.24367,0.79561,0.71394,0.80154,0.54078,0.19793,0.5634,0.15263,6.327e-05,0.0002109,6.327e-05,0.0002109,6.327e-05,0.0002109
25,44796.3,0.40361,0.54524,0.24542,0.79743,0.71424,0.80154,0.54143,0.19744,0.55228,0.15161,6.21562e-05,0.000207187,6.21562e-05,0.000207187,6.21562e-05,0.000207187
26,46530.5,0.40391,0.54056,0.24568,0.79778,0.71326,0.8017,0.54183,0.19728,0.54199,0.15176,6.10425e-05,0.000203475,6.10425e-05,0.000203475,6.10425e-05,0.000203475
27,48297.5,0.40234,0.53896,0.24223,0.79767,0.71339,0.80159,0.54199,0.19733,0.53968,0.15283,5.99287e-05,0.000199762,5.99287e-05,0.000199762,5.99287e-05,0.000199762
28,50055.1,0.40099,0.53888,0.2427,0.80086,0.71311,0.80194,0.54244,0.19754,0.55271,0.15338,5.8815e-05,0.00019605,5.8815e-05,0.00019605,5.8815e-05,0.00019605
29,51839.8,0.39813,0.53633,0.24272,0.8029,0.7119,0.8025,0.54264,0.19685,0.69611,0.15265,5.77012e-05,0.000192337,5.77012e-05,0.000192337,5.77012e-05,0.000192337
