epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1490.1,1.09372,0.73709,0.6693,0.27236,0.10548,0.06937,0.0248,0.59132,7.08063,0.62695,9.99813e-05,9.99813e-05,0.0667729
2,2847.92,0.75581,0.84981,0.3979,0.32275,0.35048,0.26032,0.14653,0.30473,1.12417,0.21898,0.000193382,0.000193382,0.0335329
3,4299.39,0.60677,0.8752,0.33211,0.57124,0.47601,0.52479,0.30243,0.27194,4.50461,0.20729,0.000280183,0.000280183,0.0002864
4,5737.65,0.5437,0.81942,0.32355,0.66319,0.55194,0.61454,0.36788,0.255,2.32263,0.19176,0.0002703,0.0002703,0.0002703
5,7151.22,0.52614,0.7776,0.31654,0.67087,0.58831,0.6479,0.39149,0.24797,2.07638,0.18675,0.0002604,0.0002604,0.0002604
6,8509.32,0.51891,0.75553,0.31094,0.70633,0.61457,0.67055,0.40778,0.24664,1.35696,0.19004,0.0002505,0.0002505,0.0002505
7,9859.27,0.51333,0.73836,0.30885,0.68479,0.61316,0.67431,0.41765,0.24135,2.10687,0.18638,0.0002406,0.0002406,0.0002406
8,11209.3,0.50479,0.72359,0.30176,0.73471,0.6273,0.70331,0.43554,0.23849,1.56035,0.18625,0.0002307,0.0002307,0.0002307
9,12561.3,0.50041,0.70825,0.30175,0.73803,0.63106,0.70632,0.44052,0.23567,1.32219,0.18248,0.0002208,0.0002208,0.0002208
10,13994.5,0.49673,0.70451,0.29941,0.74241,0.63763,0.71068,0.44705,0.2335,1.39197,0.18113,0.0002109,0.0002109,0.0002109
11,15428.2,0.49024,0.69246,0.2946,0.74072,0.64173,0.70926,0.44735,0.23264,1.4261,0.18144,0.000201,0.000201,0.000201
12,16829.3,0.48332,0.68937,0.28992,0.74687,0.6404,0.71282,0.45082,0.23185,1.3808,0.18101,0.0001911,0.0001911,0.0001911
13,18274.3,0.47936,0.67511,0.28735,0.74999,0.64153,0.71581,0.45416,0.23036,1.2585,0.17941,0.0001812,0.0001812,0.0001812
14,19689.2,0.47435,0.67233,0.2861,0.75426,0.6482,0.72086,0.45792,0.22999,1.19652,0.17953,0.0001713,0.0001713,0.0001713
15,21130.2,0.46853,0.66788,0.28346,0.7515,0.65134,0.72223,0.45995,0.2288,1.17218,0.17823,0.0001614,0.0001614,0.0001614
16,22514.9,0.46462,0.65757,0.28202,0.7537,0.65743,0.72684,0.46426,0.22776,1.08745,0.17684,0.0001515,0.0001515,0.0001515
17,23922.9,0.46037,0.65509,0.27812,0.75753,0.65573,0.7283,0.46579,0.22691,1.04865,0.17598,0.0001416,0.0001416,0.0001416
18,25328.9,0.45945,0.64449,0.27761,0.76198,0.65974,0.73342,0.47029,0.22603,0.96642,0.17438,0.0001317,0.0001317,0.0001317
19,26706.2,0.45299,0.64161,0.27418,0.76223,0.66281,0.7339,0.47199,0.22485,0.90464,0.17342,0.0001218,0.0001218,0.0001218
20,28101.8,0.45184,0.63548,0.27384,0.7717,0.66279,0.73889,0.47598,0.22412,0.88296,0.17373,0.0001119,0.0001119,0.0001119
21,29453.5,0.42457,0.61167,0.29662,0.77344,0.66219,0.74115,0.47954,0.22245,0.82488,0.17241,0.000102,0.000102,0.000102
22,30813,0.4204,0.6039,0.29205,0.7745,0.66523,0.74452,0.48273,0.22105,0.77133,0.1707,9.21e-05,9.21e-05,9.21e-05
23,32169.2,0.41953,0.59639,0.29135,0.7735,0.66702,0.74637,0.48539,0.22029,0.75209,0.17073,8.22e-05,8.22e-05,8.22e-05
24,33541.5,0.41678,0.58906,0.28873,0.77706,0.66646,0.74851,0.48738,0.21941,0.75094,0.16928,7.23e-05,7.23e-05,7.23e-05
25,34885.9,0.41333,0.58489,0.28462,0.77879,0.67003,0.75054,0.49049,0.21763,0.7136,0.16817,6.24e-05,6.24e-05,6.24e-05
26,36260.4,0.40937,0.58176,0.28278,0.78584,0.67143,0.75445,0.49389,0.21643,0.6926,0.16675,5.25e-05,5.25e-05,5.25e-05
27,37629.1,0.40695,0.5756,0.28037,0.7898,0.66941,0.75654,0.49557,0.21564,0.66629,0.16646,4.26e-05,4.26e-05,4.26e-05
28,39011.5,0.40568,0.56849,0.27977,0.79002,0.67389,0.76005,0.4984,0.21527,0.6434,0.16621,3.27e-05,3.27e-05,3.27e-05
29,40366.3,0.40303,0.56128,0.27724,0.78823,0.67405,0.76091,0.49982,0.21488,0.63498,0.16608,2.28e-05,2.28e-05,2.28e-05
30,41727.9,0.39958,0.55932,0.27351,0.79452,0.67271,0.76286,0.50149,0.21436,0.61645,0.16568,1.29e-05,1.29e-05,1.29e-05
