epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5
1,1477,0.36001,0.46587,0.24595,0.8004,0.70902,0.79721,0.53955,0.20248,0.38605,0.15787,3.3e-05,0.00011,3.3e-05,0.00011,3.3e-05,0.00011
2,2856.78,0.35592,0.46484,0.24043,0.79679,0.7108,0.79719,0.53573,0.20525,0.38535,0.16264,3.03243e-05,0.000101081,3.03243e-05,0.000101081,3.03243e-05,0.000101081
3,4314.25,0.35401,0.45881,0.2389,0.80683,0.69661,0.79245,0.53733,0.20399,0.41692,0.15905,2.76485e-05,9.21617e-05,2.76485e-05,9.21617e-05,2.76485e-05,9.21617e-05
4,5722.67,0.35215,0.45364,0.23705,0.79472,0.70601,0.79156,0.5329,0.20615,0.44076,0.16375,2.49728e-05,8.32425e-05,2.49728e-05,8.32425e-05,2.49728e-05,8.32425e-05
5,7215.61,0.35065,0.45049,0.2345,0.7955,0.70976,0.79422,0.5359,0.2059,0.43298,0.16275,2.2297e-05,7.43233e-05,2.2297e-05,7.43233e-05,2.2297e-05,7.43233e-05
6,8749.78,0.34697,0.44434,0.23226,0.8013,0.70624,0.79417,0.53399,0.20702,0.40842,0.16671,1.96212e-05,6.54042e-05,1.96212e-05,6.54042e-05,1.96212e-05,6.54042e-05
7,10203.4,0.34681,0.43953,0.23221,0.8025,0.70736,0.78976,0.5331,0.20726,0.47615,0.16679,1.69455e-05,5.6485e-05,1.69455e-05,5.6485e-05,1.69455e-05,5.6485e-05
8,11573.7,0.34284,0.43469,0.22928,0.79969,0.70749,0.78925,0.53365,0.20651,0.4151,0.16526,1.42698e-05,4.75658e-05,1.42698e-05,4.75658e-05,1.42698e-05,4.75658e-05
9,12961.2,0.34135,0.43076,0.2273,0.79581,0.70954,0.78823,0.53187,0.20826,0.39702,0.16855,1.1594e-05,3.86467e-05,1.1594e-05,3.86467e-05,1.1594e-05,3.86467e-05
10,14385.4,0.34048,0.42749,0.22552,0.79261,0.71063,0.78685,0.53191,0.20836,0.42515,0.16792,8.91825e-06,2.97275e-05,8.91825e-06,2.97275e-05,8.91825e-06,2.97275e-05
11,15772.7,0.33761,0.4238,0.2246,0.79362,0.71225,0.7857,0.53123,0.20838,0.41688,0.16888,6.2425e-06,2.08083e-05,6.2425e-06,2.08083e-05,6.2425e-06,2.08083e-05
